FileName,inst#,actual,predicted,error,prediction
src\main\java\org\apache\commons\lang\math\JVMRandom.java,1,2:valid,2:valid,,0.342
src\main\java\org\apache\commons\lang\enum\Enum.java,2,2:valid,2:valid,,0.43
src\test\java\org\apache\commons\lang\CharSetTest.java,3,2:valid,2:valid,,0.009
src\test\java\org\apache\commons\lang\enum\ValuedColorEnum.java,4,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\reflect\testbed\Ambig.java,5,2:valid,2:valid,,0.001
src\test\java\org\apache\commons\lang\mutable\MutableFloatTest.java,6,2:valid,2:valid,,0.002
src\test\java\org\apache\commons\lang\reflect\testbed\PublicChild.java,7,2:valid,2:valid,,0.004
src\test\java\org\apache\commons\lang\math\LongRangeTest.java,8,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\builder\ShortPrefixToStringStyleTest.java,9,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\enums\ValuedEnumTest.java,10,2:valid,2:valid,,0.014
src\test\java\org\apache\commons\lang\enum\EnumUtilsTest.java,11,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\enums\Broken3OperationEnum.java,12,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\reflect\testbed\PubliclyShadowedChild.java,13,2:valid,2:valid,,0.022
src\test\java\org\apache\commons\lang\enums\EnumTest.java,14,2:valid,2:valid,,0.032
src\test\java\org\apache\commons\lang\enums\Nest.java,15,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang\ObjectUtils.java,16,1:bugged,2:valid,+,0.039
src\test\java\org\apache\commons\lang\text\StrSubstitutorTest.java,17,1:bugged,2:valid,+,0.026
src\test\java\org\apache\commons\lang\builder\HashCodeBuilderTest.java,18,2:valid,2:valid,,0.341
src\test\java\org\apache\commons\lang\IllegalClassExceptionTest.java,19,2:valid,2:valid,,0.003
src\test\java\org\apache\commons\lang\reflect\testbed\Foo.java,20,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang\math\LongRange.java,21,2:valid,2:valid,,0.004
src\test\java\org\apache\commons\lang\ArrayUtilsTest.java,22,2:valid,2:valid,,0.482
src\test\java\org\apache\commons\lang\math\FractionTest.java,23,2:valid,2:valid,,0.033
src\main\java\org\apache\commons\lang\CharSetUtils.java,24,1:bugged,2:valid,+,0.016
src\test\java\org\apache\commons\lang\exception\AbstractNestableTest.java,25,2:valid,2:valid,,0.141
src\test\java\org\apache\commons\lang\enum\Broken2OperationEnum.java,26,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\UnhandledExceptionTest.java,27,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\lang\enums\ValuedEnum.java,28,2:valid,2:valid,,0.011
src\test\java\org\apache\commons\lang\NullArgumentExceptionTest.java,29,2:valid,2:valid,,0.001
src\test\java\org\apache\commons\lang\enums\EnumUtilsLang76Test.java,30,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\exception\ExceptionUtilsTest.java,31,2:valid,2:valid,,0.038
src\test\java\org\apache\commons\lang\math\AbstractRangeTest.java,32,2:valid,2:valid,,0.006
src\test\java\org\apache\commons\lang\enums\NestLinked.java,33,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang\reflect\ConstructorUtils.java,34,2:valid,2:valid,,0.005
src\test\java\org\apache\commons\lang\enum\NestLinked.java,35,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang\builder\IDKey.java,36,2:valid,2:valid,,0.025
src\test\java\org\apache\commons\lang\exception\NestableErrorTest.java,37,2:valid,2:valid,,0.014
src\test\java\org\apache\commons\lang\StringUtilsTrimEmptyTest.java,38,2:valid,2:valid,,0.009
src\test\java\org\apache\commons\lang\text\StrBuilderTest.java,39,1:bugged,2:valid,+,0.063
src\main\java\org\apache\commons\lang\IntHashMap.java,40,2:valid,2:valid,,0.013
src\main\java\org\apache\commons\lang\builder\HashCodeBuilder.java,41,1:bugged,2:valid,+,0.46
src\test\java\org\apache\commons\lang\exception\NestableDelegateTest.java,42,2:valid,2:valid,,0.029
src\test\java\org\apache\commons\lang\builder\ToStringBuilderTest.java,43,2:valid,2:valid,,0.064
src\main\java\org\apache\commons\lang\LocaleUtils.java,44,2:valid,2:valid,,0.32
src\test\java\org\apache\commons\lang\CharUtilsTest.java,45,2:valid,2:valid,,0.057
src\main\java\org\apache\commons\lang\math\DoubleRange.java,46,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\lang\exception\ExceptionUtils.java,47,2:valid,2:valid,,0.464
src\test\java\org\apache\commons\lang\RandomStringUtilsTest.java,48,2:valid,2:valid,,0.005
src\test\java\org\apache\commons\lang\builder\EqualsBuilderTest.java,49,2:valid,2:valid,,0.141
src\main\java\org\apache\commons\lang\text\FormatFactory.java,50,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\builder\HashCodeBuilderAndEqualsBuilderTest.java,51,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\lang\NullArgumentException.java,52,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang\text\StrTokenizer.java,53,2:valid,2:valid,,0.034
src\test\java\org\apache\commons\lang\EntitiesPerformanceTest.java,54,2:valid,2:valid,,0.045
src\test\java\org\apache\commons\lang\enum\ColorEnum.java,55,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\enums\ValuedLanguageEnum.java,56,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\enum\NestReferenced.java,57,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\lang\enums\NestReferenced.java,58,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang\mutable\MutableObject.java,59,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\lang\text\StrSubstitutor.java,60,1:bugged,2:valid,+,0.058
src\main\java\org\apache\commons\lang\time\DateFormatUtils.java,61,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\lang\mutable\MutableFloat.java,62,2:valid,2:valid,,0.456
src\main\java\org\apache\commons\lang\NotImplementedException.java,63,2:valid,2:valid,,0.008
src\test\java\org\apache\commons\lang\builder\SimpleToStringStyleTest.java,64,2:valid,2:valid,,0.0
