FileName,inst#,actual,predicted,error,prediction
src\java\org\apache\commons\math\transform\FastCosineTransformer.java,1,2:valid,2:valid,,0.035
src\java\org\apache\commons\math\ode\FirstOrderDifferentialEquations.java,2,2:valid,2:valid,,0.0
src\java\org\apache\commons\math\ode\HighamHall54Integrator.java,3,2:valid,2:valid,,0.033
src\test\org\apache\commons\math\stat\descriptive\AbstractUnivariateStatisticTest.java,4,2:valid,2:valid,,0.0
src\java\org\apache\commons\math\ode\GillIntegrator.java,5,2:valid,2:valid,,0.001
src\test\org\apache\commons\math\ode\EulerStepInterpolatorTest.java,6,2:valid,2:valid,,0.002
src\java\org\apache\commons\math\random\AbstractRandomGenerator.java,7,2:valid,2:valid,,0.007
src\java\org\apache\commons\math\MessagesResources_fr.java,8,2:valid,2:valid,,0.005
src\java\org\apache\commons\math\ode\AdaptiveStepsizeIntegrator.java,9,2:valid,2:valid,,0.093
src\test\org\apache\commons\math\stat\descriptive\DescriptiveStatisticsTest.java,10,2:valid,2:valid,,0.013
src\java\org\apache\commons\math\random\NotPositiveDefiniteMatrixException.java,11,2:valid,2:valid,,0.0
src\test\org\apache\commons\math\stat\data\CertifiedDataAbstractTest.java,12,2:valid,2:valid,,0.007
src\test\org\apache\commons\math\stat\StatUtilsTest.java,13,2:valid,2:valid,,0.009
src\test\org\apache\commons\math\complex\ComplexUtilsTest.java,14,2:valid,2:valid,,0.026
src\test\org\apache\commons\math\stat\descriptive\StatisticalSummaryValuesTest.java,15,2:valid,2:valid,,0.0
src\test\org\apache\commons\math\analysis\MonitoredFunction.java,16,2:valid,2:valid,,0.019
src\java\org\apache\commons\math\estimation\SimpleEstimationProblem.java,17,2:valid,2:valid,,0.004
src\java\org\apache\commons\math\stat\descriptive\summary\Product.java,18,2:valid,2:valid,,0.0
src\test\org\apache\commons\math\distribution\GammaDistributionTest.java,19,2:valid,2:valid,,0.001
src\test\org\apache\commons\math\ode\TestProblem4.java,20,2:valid,2:valid,,0.009
src\test\org\apache\commons\math\ode\DummyStepInterpolatorTest.java,21,2:valid,2:valid,,0.01
src\java\org\apache\commons\math\random\NormalizedRandomGenerator.java,22,2:valid,2:valid,,0.0
src\test\org\apache\commons\math\stat\descriptive\SummaryStatisticsImplTest.java,23,2:valid,2:valid,,0.0
src\java\org\apache\commons\math\linear\InvalidMatrixException.java,24,2:valid,2:valid,,0.0
src\java\org\apache\commons\math\stat\descriptive\StorelessUnivariateStatistic.java,25,2:valid,2:valid,,0.002
src\test\org\apache\commons\math\stat\descriptive\SynchronizedSummaryStatisticsTest.java,26,2:valid,2:valid,,0.0
src\test\org\apache\commons\math\distribution\BinomialDistributionTest.java,27,2:valid,2:valid,,0.001
src\test\org\apache\commons\math\analysis\UnivariateRealSolverFactoryImplTest.java,28,2:valid,2:valid,,0.002
src\test\org\apache\commons\math\FunctionEvaluationExceptionTest.java,29,2:valid,2:valid,,0.0
src\java\org\apache\commons\math\distribution\PoissonDistributionImpl.java,30,2:valid,2:valid,,0.008
src\test\org\apache\commons\math\estimation\EstimatedParameterTest.java,31,2:valid,2:valid,,0.0
src\java\org\apache\commons\math\transform\FastSineTransformer.java,32,2:valid,2:valid,,0.028
