class,mean time- totalEffortInSeconds
org.apache.commons.math3.linear.DefaultRealMatrixChangingVisitor,34.6
org.apache.commons.math3.optimization.univariate.BracketFinder,93
org.apache.commons.math3.ode.nonstiff.GillIntegrator,11.2
org.apache.commons.math3.stat.clustering.KMeansPlusPlusClusterer,139.6
org.apache.commons.math3.complex.ComplexField,36.2
org.apache.commons.math3.stat.inference.ChiSquareTest,143
org.apache.commons.math3.optim.univariate.MultiStartUnivariateOptimizer,77.5
org.apache.commons.math3.exception.ZeroException,35
org.apache.commons.math3.optim.nonlinear.vector.ModelFunction,9.8
org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker,29.4
org.apache.commons.math3.optimization.direct.CMAESOptimizer,285.4
org.apache.commons.math3.analysis.function.Ulp,35.8
org.apache.commons.math3.linear.BiDiagonalTransformer,221
org.apache.commons.math3.ml.neuralnet.sofm.util.ExponentialDecayFunction,47.2
org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer,66.2
org.apache.commons.math3.ode.nonstiff.MidpointStepInterpolator,55.4
org.apache.commons.math3.exception.InsufficientDataException,35.4
org.apache.commons.math3.optim.SimpleBounds,35.4
org.apache.commons.math3.ml.neuralnet.sofm.KohonenTrainingTask,23.2
org.apache.commons.math3.stat.interval.NormalApproximationInterval,36
org.apache.commons.math3.fraction.FractionField,35.6
org.apache.commons.math3.stat.inference.TestUtils,51.25
org.apache.commons.math3.optimization.Weight,31.2
org.apache.commons.math3.linear.NonSquareMatrixException,8
org.apache.commons.math3.genetics.BinaryMutation,44.2
org.apache.commons.math3.optim.linear.SimplexTableau,266.8
org.apache.commons.math3.linear.Array2DRowRealMatrix,214.3333333333
org.apache.commons.math3.util.CombinatoricsUtils,206.2
org.apache.commons.math3.util.MathUtils,117.8
org.apache.commons.math3.fitting.GaussianCurveFitter,46.6
org.apache.commons.math3.distribution.BinomialDistribution,81.25
org.apache.commons.math3.analysis.differentiation.JacobianFunction,47
org.apache.commons.math3.geometry.euclidean.oned.Euclidean1D,34.6
org.apache.commons.math3.optim.nonlinear.vector.MultivariateVectorOptimizer,49.6
org.apache.commons.math3.fitting.leastsquares.OptimumImpl,37.4
org.apache.commons.math3.util.BigReal,49.6
org.apache.commons.math3.util.ArithmeticUtils,276.8
org.apache.commons.math3.stat.inference.KolmogorovSmirnovTest,0
org.apache.commons.math3.optim.nonlinear.vector.JacobianMultivariateVectorOptimizer,43.4
org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,43.6
org.apache.commons.math3.primes.Primes,87.2
org.apache.commons.math3.optim.nonlinear.vector.Weight,34.2
org.apache.commons.math3.geometry.spherical.oned.SubLimitAngle,43.8
org.apache.commons.math3.distribution.TriangularDistribution,115
org.apache.commons.math3.fraction.BigFraction,215.8
