FileName,inst#,actual,predicted,error,prediction
src\main\java\org\mockito\exceptions\verification\TooManyActualInvocations.java,1,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\stubbing\BaseStubbing.java,2,2:valid,2:valid,,0.028
src\test\java\org\mockitousage\bugs\creation\PublicMethodInParentWithNonPublicTypeInSignatureTest.java,3,2:valid,2:valid,,0.0
src\test\java\org\mockito\internal\handler\MockHandlerImplTest.java,4,2:valid,2:valid,,0.0
src\main\java\org\mockito\plugins\InstantiatorProvider.java,5,2:valid,2:valid,,0.04
src\test\java\org\mockitousage\junitrule\RuleTestWithFactoryMethodTest.java,6,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\configuration\IndependentAnnotationEngine.java,7,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\verification\checkers\NumberOfInvocationsChecker.java,8,1:bugged,2:valid,+,0.009
src\test\java\org\mockito\internal\configuration\plugins\PluginFinderTest.java,9,2:valid,2:valid,,0.0
src\main\java\org\mockito\session\MockitoSessionBuilder.java,10,2:valid,2:valid,,0.067
src\test\java\org\mockitousage\bugs\VerifyingWithAnExtraCallToADifferentMockTest.java,11,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\creation\instance\Instantiator.java,12,2:valid,2:valid,,0.207
src\main\java\org\mockito\internal\exceptions\stacktrace\DefaultStackTraceCleanerProvider.java,13,2:valid,2:valid,,0.024
src\test\java\org\mockitousage\matchers\MoreMatchersTest.java,14,2:valid,2:valid,,0.0
src\main\java\org\mockito\stubbing\VoidAnswer2.java,15,2:valid,2:valid,,0.009
src\main\java\org\mockito\stubbing\Answer5.java,16,2:valid,2:valid,,0.011
src\main\java\org\mockito\internal\verification\api\package-info.java,17,2:valid,2:valid,,0.001
src\test\java\org\mockitousage\basicapi\ReplacingObjectMethodsTest.java,18,2:valid,2:valid,,0.0
src\main\java\org\mockito\exceptions\stacktrace\package-info.java,19,2:valid,2:valid,,0.001
src\test\java\org\mockito\internal\reporting\PluralizerTest.java,20,2:valid,2:valid,,0.0
subprojects\junit-jupiter\src\main\java\org\mockito\junit\jupiter\MockitoSettings.java,21,2:valid,2:valid,,0.03
src\main\java\org\mockito\internal\runners\RunnerFactory.java,22,1:bugged,2:valid,+,0.01
subprojects\testng\src\test\java\org\mockitousage\testng\failuretests\FailingOnPurposeBecauseWrongStubbingSyntaxInConfigurationMethod.java,23,2:valid,2:valid,,0.0
src\main\java\org\mockito\mock\SerializableMode.java,24,2:valid,2:valid,,0.049
src\test\java\org\mockitousage\misuse\DescriptiveMessagesOnMisuseTest.java,25,2:valid,2:valid,,0.0
src\test\java\org\mockito\internal\configuration\GlobalConfigurationTest.java,26,2:valid,2:valid,,0.0
src\test\java\org\mockitousage\matchers\CapturingArgumentsTest.java,27,2:valid,2:valid,,0.0
src\main\java\org\mockito\exceptions\base\MockitoAssertionError.java,28,2:valid,2:valid,,0.004
src\main\java\org\mockito\internal\creation\bytebuddy\MockMethodAdvice.java,29,2:valid,2:valid,,0.095
src\main\java\org\mockito\exceptions\misusing\UnfinishedVerificationException.java,30,2:valid,2:valid,,0.0
subprojects\testng\src\test\java\org\mockitousage\testng\MockFieldsShouldBeResetBetweenTestMethodsTest.java,31,2:valid,2:valid,,0.0
src\test\java\org\mockitousage\verification\DescriptiveMessagesWhenVerificationFailsTest.java,32,2:valid,2:valid,,0.0
src\test\java\org\mockitousage\bugs\ActualInvocationHasNullArgumentNPEBugTest.java,33,2:valid,2:valid,,0.0
src\test\java\org\mockito\internal\InOrderImplTest.java,34,2:valid,2:valid,,0.0
src\test\java\org\mockito\internal\verification\OnlyTest.java,35,2:valid,2:valid,,0.003
src\main\java\org\mockito\internal\creation\bytebuddy\BytecodeGenerator.java,36,2:valid,2:valid,,0.002
src\main\java\org\mockito\internal\matchers\text\MatcherToString.java,37,2:valid,2:valid,,0.008
src\main\java\org\mockito\internal\matchers\Matches.java,38,1:bugged,2:valid,+,0.002
src\main\java\org\mockito\internal\verification\DefaultRegisteredInvocations.java,39,2:valid,2:valid,,0.0
src\test\java\org\mockito\internal\creation\InterfaceOverrideTest.java,40,2:valid,2:valid,,0.0
src\test\java\org\mockitousage\serialization\AcrossClassLoaderSerializationTest.java,41,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\debugging\LocationImpl.java,42,2:valid,2:valid,,0.021
src\main\java\org\mockito\internal\util\ObjectMethodsGuru.java,43,2:valid,2:valid,,0.002
src\main\java\org\mockito\internal\creation\util\MockitoMethodProxy.java,44,2:valid,2:valid,,0.004
src\test\java\org\concurrentmockito\ThreadsShareAMockTest.java,45,2:valid,2:valid,,0.001
src\main\java\org\mockito\internal\runners\StrictRunner.java,46,2:valid,2:valid,,0.01
src\main\java\org\mockito\internal\configuration\injection\ConstructorInjection.java,47,2:valid,2:valid,,0.0
src\test\java\org\mockito\internal\configuration\injection\ConstructorInjectionTest.java,48,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\verification\checkers\package-info.java,49,2:valid,2:valid,,0.001
src\test\java\org\concurrentmockito\VerificationInOrderFromMultipleThreadsTest.java,50,2:valid,2:valid,,0.0
src\test\java\org\mockitousage\debugging\VerboseLoggingOfInvocationsOnMockTest.java,51,2:valid,2:valid,,0.0
src\main\java\org\mockito\Incubating.java,52,2:valid,2:valid,,0.0
subprojects\testng\src\test\java\org\mockitousage\testng\AnnotatedFieldsShouldBeInitializedByMockitoTestNGListenerTest.java,53,2:valid,2:valid,,0.0
src\main\java\org\mockito\internal\debugging\InvocationsPrinter.java,54,2:valid,2:valid,,0.088
