,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
905,3937,server\tserver\src\main\java\org\apache\accumulo\tserver\log\TabletServerLogger.java,4911f855d9f8eea94e5b0ae848cc37fcef355252,55,0,39f8e7324acc510fea70952519596a89e9d9b0b4,1.7.0,2015-07-10 22:41:12,1.7.0,,org.apache.accumulo.tserver.log.TabletServerLogger,org.apache.accumulo.tserver.log,905
906,2346,test\src\main\java\org\apache\accumulo\test\replication\ReplicationIT.java,7ec6291a31bd154a08ecd2994cee30b60317a38d,155,0,5dbb768d7f503d87929bbd0fcd1b8c1b827cc10a,1.7.0,2015-07-17 16:58:58,1.7.0,,org.apache.accumulo.test.replication.ReplicationIT,org.apache.accumulo.test.replication,906
907,3938,core\src\main\java\org\apache\accumulo\core\client\mapreduce\RangeInputSplit.java,967100ddad5cfc0a525b951e3730b3270c20ef54,10,0,68dd750133fc472d10708ec7960ff53e634b25ca,1.6.3,2015-07-17 23:33:39,1.6.3,,org.apache.accumulo.core.client.mapreduce.RangeInputSplit,org.apache.accumulo.core.client.mapreduce,907
908,3939,server\src\main\java\org\apache\accumulo\server\security\AuditedSecurityOperation.java,262decd3c71b5217d51e51fc7febbea56827ba9f,30,0,abe13e302d9f33f1743707ce99afd7c5925d4948,1.5.3,2015-07-22 17:34:59,1.5.3,,org.apache.accumulo.server.security.AuditedSecurityOperation,org.apache.accumulo.server.security,908
909,3211,test\src\main\java\org\apache\accumulo\test\MetaRecoveryIT.java,7a9c20ab3e987dd6f8612b54ba3acdf772cb2e64,377,0,466821f5f529be9203e9f9dddf112c1c66debebd,1.7.0,2015-07-23 19:26:55,1.7.0,,org.apache.accumulo.test.MetaRecoveryIT,org.apache.accumulo.test,909
910,3945,shell\src\main\java\org\apache\accumulo\shell\ShellOptionsJC.java,3622556517432540b0ff90997c9e1d4ee3474e6e,27,0,069d198175301d04bb470ac26c62f91510cc07fe,1.7.0,2015-07-26 23:47:11,1.7.0,,org.apache.accumulo.shell.ShellOptionsJC,org.apache.accumulo.shell,910
911,3604,test\src\main\java\org\apache\accumulo\test\ZooKeeperPropertiesIT.java,5060e82dcbbff74a4aade59faa435a294ac6926e,129,0,a9e6d7348839517d1bcc8bb4c35e775e126231cb,1.7.0,2015-07-31 17:11:25,1.7.0,,org.apache.accumulo.test.ZooKeeperPropertiesIT,org.apache.accumulo.test,911
912,3946,server\src\main\java\org\apache\accumulo\server\security\AuditedSecurityOperation.java,dad7c7c93a7825dd967d42a99380ccd8beb06e24,1775,0,262decd3c71b5217d51e51fc7febbea56827ba9f,1.5.3,2015-08-11 20:21:04,1.5.3,,org.apache.accumulo.server.security.AuditedSecurityOperation,org.apache.accumulo.server.security,912
913,3965,core\src\main\java\org\apache\accumulo\core\util\shell\commands\ActiveScanIterator.java,dcd27de5f77e949d9828ad2a879d86a13e0504c1,40,0,a541e766e1e8b3cba307ca0e1535233ff6384802,1.6.3,2015-08-19 21:04:04,1.6.3,,org.apache.accumulo.core.util.shell.commands.ActiveScanIterator,org.apache.accumulo.core.util.shell.commands,913
914,3966,server\base\src\main\java\org\apache\accumulo\server\security\AuditedSecurityOperation.java,a541e766e1e8b3cba307ca0e1535233ff6384802,10,0,00c275b1f655e91a8a79bb24aab0e57eaf75d096,1.6.3,2015-08-20 22:38:47,1.6.3,,org.apache.accumulo.server.security.AuditedSecurityOperation,org.apache.accumulo.server.security,914
