,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,4,src\main\java\org\apache\bcel\util\BCELFactory.java,1c4714e9f7600a53dce7c9221c72d77035d56dc8,195,0,e5585e4468b2462c7387eff52dc06de96d50f893,BCEL_6_0_RC1,2010-07-24 08:54:43,BCEL_6_0_RC1,,org.apache.bcel.util.BCELFactory,org.apache.bcel.util,0
1,1,src\main\java\org\apache\bcel\verifier\structurals\Subroutines.java,74ff4157dc2867858a28a9d5c26582547f0676e3,642,0,55de3c0df1025ca6e1c064d8c8120a2c2030797f,BCEL_6_0_RC1,2011-07-22 04:34:27,BCEL_6_0_RC1,,org.apache.bcel.verifier.structurals.Subroutines,org.apache.bcel.verifier.structurals,1
2,8,src\main\java\org\apache\bcel\Constants.java,a47c46bc9ff807119c4810caae00705c02821574,312,0,0128d7e799e52419bdd8b0d9b1c031c745e2d122,BCEL_6_0_RC1,2013-02-18 01:23:22,BCEL_6_0_RC1,,org.apache.bcel.Constants,org.apache.bcel,2
3,5,src\main\java\org\apache\bcel\verifier\statics\Pass3aVerifier.java,9082f2bd701d6b0a90b0b319948057d2ec2922e0,592,0,e4d51a55eac15354bfb8f7dfdec3ebb06deefd1c,BCEL_6_0_RC1,2013-12-31 22:05:01,BCEL_6_0_RC1,,org.apache.bcel.verifier.statics.Pass3aVerifier,org.apache.bcel.verifier.statics,3
4,52,src\main\java\org\apache\bcel\classfile\MethodParameter.java,142edb8043bc41401872204edb24ac6af36e7b35,484,0,86081411f480dd6cf8c7cbca74b9b8fa87f87992,BCEL_6_0_RC1,2014-04-23 21:26:13,BCEL_6_0_RC1,,org.apache.bcel.classfile.MethodParameter,org.apache.bcel.classfile,4
5,177,src\main\java\org\apache\bcel\classfile\MethodParameters.java,f896e6c9eb751b24de5637ab86731068fa0e2096,24,0,88d0fbb7e6f4d3d2731a0ebab95458ef02fcb538,BCEL_6_0_RC1,2014-07-28 20:33:34,BCEL_6_0_RC1,,org.apache.bcel.classfile.MethodParameters,org.apache.bcel.classfile,5
6,186,src\main\java\org\apache\bcel\classfile\ConstantUtf8.java,ae887bde4df5b1f61ff418635a51925d2d94aacc,318,0,68edb354fa8c29c628263631b446721add4eff6e,BCEL_6_0_RC4,2015-01-17 11:30:31,BCEL_6_0_RC4,,org.apache.bcel.classfile.ConstantUtf8,org.apache.bcel.classfile,6
7,193,src\main\java\org\apache\bcel\verifier\structurals\InstConstraintVisitor.java,1120dfb0df6256985e85ca0f46ecf52902e0aa76,333,0,5f029f691332139ea0bb0e938b90799d74806a93,BCEL_6_0_RC4,2015-03-07 19:17:27,BCEL_6_0_RC4,,org.apache.bcel.verifier.structurals.InstConstraintVisitor,org.apache.bcel.verifier.structurals,7
8,188,src\main\java\org\apache\bcel\verifier\structurals\Pass3bVerifier.java,9a09f41b03df238043e0eda59d5cfa11cdd36523,332,0,a667105d323cfaa5584b8067bd6840a4a39d2b5e,BCEL_6_0_RC4,2015-03-07 19:38:34,BCEL_6_0_RC4,,org.apache.bcel.verifier.structurals.Pass3bVerifier,org.apache.bcel.verifier.structurals,8
9,187,src\main\java\org\apache\bcel\verifier\statics\Pass3aVerifier.java,48426e0049b01d86b2af3b0cd4c7452a98bbcaaf,630,0,c0e9f324eacc6bc8bcf3ae307bb659c27b7236b0,BCEL_6_0_RC4,2015-07-18 04:56:40,BCEL_6_0_RC4,,org.apache.bcel.verifier.statics.Pass3aVerifier,org.apache.bcel.verifier.statics,9
10,209,src\main\java\org\apache\bcel\generic\INVOKEDYNAMIC.java,763333c2572c5ebcb8f1d09c32876da987741c54,481,0,48426e0049b01d86b2af3b0cd4c7452a98bbcaaf,BCEL_6_0_RC4,2015-07-19 21:10:46,BCEL_6_0_RC4,,org.apache.bcel.generic.INVOKEDYNAMIC,org.apache.bcel.generic,10
11,227,src\main\java\org\apache\commons\bcel6\generic\MethodGen.java,fef71e3c880f8f3c04121481948f790f8531e7ce,10,0,f285bca8766093a912e0c118417fc268823aac96,BCEL_6_0_RC5,2015-08-12 01:02:39,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.MethodGen,org.apache.commons.bcel6.generic,11
12,234,src\main\java\org\apache\commons\bcel6\verifier\VerifyDialog.java,0ea7ebe90701a08f8417816cb3715de011f01420,37,0,7f07c6e4c49939632cfb1faedbc79af75bec1cb3,BCEL_6_0_RC5,2015-08-12 10:54:45,BCEL_6_0_RC5,,org.apache.commons.bcel6.verifier.VerifyDialog,org.apache.commons.bcel6.verifier,12
13,231,src\main\java\org\apache\commons\bcel6\generic\ReferenceType.java,9da9fc8e3ea8e9c2cc150fe0273383a892e9da1e,362,0,d1a73f78b48f20596da8f0b011156f7bcb8d7a6a,BCEL_6_0_RC5,2015-08-12 11:22:39,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.ReferenceType,org.apache.commons.bcel6.generic,13
14,239,src\main\java\org\apache\commons\bcel6\util\CodeHTML.java,db84d4027bf3c4e2ea9f3c011e10fee7866235a4,1018,0,0af0fb3158488b64b4b02a794a757891bb636de9,BCEL_6_0_RC5,2015-08-12 15:29:23,BCEL_6_0_RC5,,org.apache.commons.bcel6.util.CodeHTML,org.apache.commons.bcel6.util,14
15,237,src\main\java\org\apache\commons\bcel6\ExceptionConstants.java,14fdded02c630bb89b9d9ff3d7168da3b54f8617,264,0,9325aac806818a7993d42e82dc57814d8725f014,BCEL_6_0_RC5,2015-08-12 18:34:18,BCEL_6_0_RC5,,org.apache.commons.bcel6.ExceptionConstants,org.apache.commons.bcel6,15
16,217,src\main\java\org\apache\commons\bcel6\util\InstructionFinder.java,ecdc6f1f11178c29c812ecd5725c2a2818d3f255,12,0,90867a91054a478d4b87ddfe32103771347c144a,BCEL_6_0_RC5,2015-08-13 19:50:41,BCEL_6_0_RC5,,org.apache.commons.bcel6.util.InstructionFinder,org.apache.commons.bcel6.util,16
17,208,src\main\java\org\apache\commons\bcel6\generic\LocalVariableGen.java,35ac47dc112c69259622bf1f702aa809c5307ecd,48,0,9637f8fa7943d19b4108ca63d02de9b50d333c10,BCEL_6_0_RC5,2015-08-13 21:21:12,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.LocalVariableGen,org.apache.commons.bcel6.generic,17
18,110,src\main\java\org\apache\commons\bcel6\util\ClassLoader.java,5292a12753c590a62a21f991057db3c4ed5d3775,839,0,d54e40c20b0fa9f2001a60b547f36d72c528de55,BCEL_6_0_RC5,2015-08-13 22:04:00,BCEL_6_0_RC5,,org.apache.commons.bcel6.util.ClassLoader,org.apache.commons.bcel6.util,18
19,79,src\main\java\org\apache\commons\bcel6\generic\MethodGen.java,b4d4d168b6077c8c6a35257dee0967fbb85398c5,86,0,cd10b153b1b3899636a3073a857d1c40fa96fa98,BCEL_6_0_RC5,2015-08-14 22:22:47,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.MethodGen,org.apache.commons.bcel6.generic,19
20,232,src\main\java\org\apache\commons\bcel6\generic\SimpleElementValueGen.java,12fa860b66d1e7ea61d1e2297edcd59857ce0c66,204,0,17e1eca59e193531830e0a04929089267916e1e5,BCEL_6_0_RC5,2015-08-18 10:17:53,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.SimpleElementValueGen,org.apache.commons.bcel6.generic,20
21,127,src\main\java\org\apache\commons\bcel6\generic\InstructionFactory.java,7f98a3a249cd1dea6c4113856e34350aa32ee84d,18,0,d1b74311efd9bdbe6ee442186ad7eef78eb7b052,BCEL_6_0_RC5,2015-08-20 11:28:00,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.InstructionFactory,org.apache.commons.bcel6.generic,21
22,249,src\main\java\org\apache\commons\bcel6\generic\Instruction.java,c2f5b0afe28af49f3b0360661545d52df70eac7e,102,0,af89ae58f914f400e198be73bc43ad556681706c,BCEL_6_0_RC5,2015-08-20 12:19:42,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.Instruction,org.apache.commons.bcel6.generic,22
23,251,src\main\java\org\apache\commons\bcel6\Constants.java,36066a5695899b6df3272e469658f56827fac461,47,0,34994d8c0a7bdb157260a51e3d3a6d2a2404ab0c,BCEL_6_0_RC5,2015-08-21 11:32:35,BCEL_6_0_RC5,,org.apache.commons.bcel6.Constants,org.apache.commons.bcel6,23
24,202,src\main\java\org\apache\commons\bcel6\classfile\StackMapEntry.java,21feca713e75b1c486d9fca07aa9aea19410d72c,1280,0,865b3d516cdde462c8e63a094bad6c7f3ec73d52,BCEL_6_0_RC5,2015-08-21 12:33:44,BCEL_6_0_RC5,,org.apache.commons.bcel6.classfile.StackMapEntry,org.apache.commons.bcel6.classfile,24
25,253,src\main\java\org\apache\commons\bcel6\verifier\structurals\Subroutines.java,c4560eabcd60cd0f0e211978036519db748360fa,195,0,d370705e0596eb7a00a3642cf79707cf3f4174fa,BCEL_6_0_RC5,2015-08-23 16:52:06,BCEL_6_0_RC5,,org.apache.commons.bcel6.verifier.structurals.Subroutines,org.apache.commons.bcel6.verifier.structurals,25
26,254,src\examples\ClassDumper.java,2c76cda4b5a6032129b27c6e4806c5c683e5e715,1729,0,bf300c3e8f03bf9aa1ff66195d79cafd8a626cb0,BCEL_6_0_RC5,2015-08-24 19:47:28,BCEL_6_0_RC5,,None,,26
27,257,src\main\java\org\apache\commons\bcel6\generic\INVOKESPECIAL.java,b227b3b6aa81ad319bdfe91a7611b957f0beffdf,54,0,d0474edbfad324e68daa95e58d73b670d01ffca1,BCEL_6_0_RC5,2015-08-26 17:58:31,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.INVOKESPECIAL,org.apache.commons.bcel6.generic,27
28,260,src\examples\ClassDumper.java,06d969a8fe228de6a637e832743cf6df518fceb0,45,0,7e303218009724e91ed7d3a008f89e8659567072,BCEL_6_0_RC5,2015-08-27 22:27:01,BCEL_6_0_RC5,,None,,28
29,261,src\main\java\org\apache\commons\bcel6\generic\Select.java,c06fa14c5e96ee1114e701cb522bc84e0e1a1a91,28,0,d4505a8dd0db0fb50fa89e85b9320c0bbc9eafea,BCEL_6_0_RC5,2015-08-27 22:55:48,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.Select,org.apache.commons.bcel6.generic,29
30,195,src\main\java\org\apache\commons\bcel6\generic\InstructionComparator.java,80ed7676093c6ee19c271fd9414d360b6a8d1712,76,0,c06fa14c5e96ee1114e701cb522bc84e0e1a1a91,BCEL_6_0_RC5,2015-08-27 23:08:28,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.InstructionComparator,org.apache.commons.bcel6.generic,30
31,221,src\main\java\org\apache\commons\bcel6\generic\INVOKEDYNAMIC.java,feba9d2cb9dcb009f64fb8107febf1af8a9b8b40,55,0,f3fbdfc725b5f1644b7a436c38ce953d0b464a17,BCEL_6_0_RC5,2015-09-11 12:37:21,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.INVOKEDYNAMIC,org.apache.commons.bcel6.generic,31
32,264,src\main\java\org\apache\commons\bcel6\classfile\DescendingVisitor.java,0b85abad6a951191875d8cb2af84a7da804c30c9,127,0,af8f4784a11bb885bfb79b7ba1dc9620238103c4,BCEL_6_0_RC5,2015-09-12 11:22:02,BCEL_6_0_RC5,,org.apache.commons.bcel6.classfile.DescendingVisitor,org.apache.commons.bcel6.classfile,32
33,269,src\main\java\org\apache\commons\bcel6\generic\InstructionList.java,07e0698ed6961ac535a8971e52d61e53f877f58e,2978,0,045d2ec6e1b1dc9294a2cabbe3112a1e2ee509f7,BCEL_6_0_RC5,2016-02-05 06:09:42,BCEL_6_0_RC5,,org.apache.commons.bcel6.generic.InstructionList,org.apache.commons.bcel6.generic,33
34,7,src\main\java\org\apache\commons\bcel6\util\ClassLoader.java,1fe62a02c75c1a1af4df78ec1b269837dee69314,8,0,914c9ccf4872aa70fb5ce3748a661768d345c81a,BCEL_6_0_RC5,2016-06-01 05:14:02,BCEL_6_0_RC5,,org.apache.commons.bcel6.util.ClassLoader,org.apache.commons.bcel6.util,34
35,273,src\main\java\org\apache\bcel\generic\BranchHandle.java,4b46a1595c4c8688644549b3cd762819f4ccfac0,109,0,452b5e69e4bef3adc664622b93fafb9e8889a313,BCEL_6_0_RC5,2016-06-10 12:07:25,BCEL_6_0_RC5,,org.apache.bcel.generic.BranchHandle,org.apache.bcel.generic,35
36,243,src\main\java\org\apache\bcel\generic\Type.java,2f2698fa5739eba1cdc3bdf8299a754fb98ae871,60,0,5865fdde89b92235cb080637810e178f21bbfc11,BCEL_6_0_RC5,2016-06-14 17:02:22,BCEL_6_0_RC5,,org.apache.bcel.generic.Type,org.apache.bcel.generic,36
