,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,3,src\java\org\apache\commons\beanutils\converters\AbstractArrayConverter.java,fc21f95d1181ec8b389b9deebdf2949330bcefb0,929,0,6f2e6b68e1217afec53d915453d7f3af6c3dbb13,STRUTS_1_1_B2,2002-06-29 22:29:22,STRUTS_1_1_B2,,org.apache.commons.beanutils.converters.AbstractArrayConverter,org.apache.commons.beanutils.converters,0
1,133,src\java\org\apache\commons\beanutils\LazyDynaBean.java,840694be25f2dca5af24a5057ac0aa1ca8ae69d7,16,0,ca276dbf2d02096a7d0f5a29fc932503be327428,BEANUTILS_1_8_0_BETA,2006-06-09 14:52:58,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.LazyDynaBean,org.apache.commons.beanutils,1
2,241,optional\bean-collections\src\java\org\apache\commons\beanutils\BeanComparator.java,b4b7e268476f744492e9442d9a8316188e0e2e94,54,0,de6ce4c143ab4740bd3d3558f2d83532582599d2,BEANUTILS_1_8_0_BETA,2006-09-12 23:16:30,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BeanComparator,org.apache.commons.beanutils,2
3,250,src\java\org\apache\commons\beanutils\LazyDynaClass.java,62e643b79b41cf91ee6cad3f689de2debe9d9a26,30,0,b4b7e268476f744492e9442d9a8316188e0e2e94,BEANUTILS_1_8_0_BETA,2006-10-07 01:20:14,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.LazyDynaClass,org.apache.commons.beanutils,3
4,121,src\java\org\apache\commons\beanutils\BeanUtilsBean.java,e0e7ad92e126d733e17bc81247396710e5fef9aa,70,0,7c6c01e3f7ca98c4422fd70f753f18a91287d100,BEANUTILS_1_8_0_BETA,2006-11-01 01:15:35,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BeanUtilsBean,org.apache.commons.beanutils,4
5,55,src\java\org\apache\commons\beanutils\BasicDynaBean.java,563cb810bc92fd1ec7cc4af1bcde00af99056757,30,0,f892f0117115f9515d5040dd756864df381bd2e3,BEANUTILS_1_8_0_BETA,2006-11-01 01:27:40,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BasicDynaBean,org.apache.commons.beanutils,5
6,30,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,2b2389ddacb7af05326bd59d1b00bf2bf7ee3e3c,84,0,f79c39513b19a86e00d7302deebd34718fdc1e9b,BEANUTILS_1_8_0_BETA,2006-11-04 08:06:03,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,6
7,256,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,144cf664a4eb47cdc5e71ff79945f8a43c46ab90,132,0,8c789b517914efd306590a810ec487f6ff2fe9ea,BEANUTILS_1_8_0_BETA,2006-11-06 04:05:27,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,7
8,262,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,3bf52ad0dc783a5f640b6eac31f74e1a91822e77,22,0,468881643b448c65cd8d228dfb09d3f193bb9d1d,BEANUTILS_1_8_0_BETA,2006-11-11 15:52:40,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,8
9,49,src\java\org\apache\commons\beanutils\BeanUtilsBean.java,7cf02ccf402ff92447359b6e67af7e5d35f7664a,16,0,dabd299189cacee0119e59f0892a0e27fafc3434,BEANUTILS_1_8_0_BETA,2006-11-12 15:21:35,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BeanUtilsBean,org.apache.commons.beanutils,9
10,110,src\java\org\apache\commons\beanutils\BeanUtilsBean.java,a48b4efe54e151eb138f7dfe7220c7bf572daec9,40,0,19c81683ce7adc0d4d3675f96a82a83d6fadd4eb,BEANUTILS_1_8_0_BETA,2007-05-20 05:10:08,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BeanUtilsBean,org.apache.commons.beanutils,10
11,249,src\java\org\apache\commons\beanutils\BeanUtilsBean.java,5ff95c71010b6a386e1a8642a8e44f5dc83318ea,20,0,c13bf868cda36a6cd2167d155bf1e85994760d6d,BEANUTILS_1_8_0_BETA,2007-05-20 06:47:00,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BeanUtilsBean,org.apache.commons.beanutils,11
12,112,optional\bean-collections\src\java\org\apache\commons\beanutils\BeanMap.java,80e8fd2242f2e2d3739a545d71f9e20d42d2daf2,256,0,2f7c96f075002983927c31a567917ed5bf97aa47,BEANUTILS_1_8_0_BETA,2007-05-20 22:17:33,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.BeanMap,org.apache.commons.beanutils,12
13,88,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,b9c59d5fd3c95ae0ae3dc65818c23e68ed97949a,108,0,37af225017a0ad14265c5ed61486a8b9c4436589,BEANUTILS_1_8_0_BETA,2007-05-24 15:38:56,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,13
14,283,src\java\org\apache\commons\beanutils\ConvertUtilsBean.java,799f674dffd9ac1406c52cb6d9d2077126b5be0d,20,0,d88792e1ad159c935794f74707027b56d83fdbbc,BEANUTILS_1_8_0_BETA,2007-06-11 15:42:53,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.ConvertUtilsBean,org.apache.commons.beanutils,14
15,247,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,01548094950bb7af5bdba7e855607594dc8d1bc0,95,0,e40fb8273c5c8830caa5f08dce19a2ff4e296ad8,BEANUTILS_1_8_0_BETA,2007-07-02 02:22:57,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,15
16,43,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,eaec509f96957bb62ba7ee383e6be07ab29da104,79,0,eebc14ebad146f323844dc60d6208e15ac4c9807,BEANUTILS_1_8_0_BETA,2007-07-02 03:27:17,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,16
17,61,src\java\org\apache\commons\beanutils\PropertyUtilsBean.java,90ebc22a1a31a799a90fe1e8204d12372f9a97d4,117,0,1f7b0e08b3db96a00da4a89e08cba01122a4f21f,BEANUTILS_1_8_0_BETA,2007-07-05 01:10:25,BEANUTILS_1_8_0_BETA,,org.apache.commons.beanutils.PropertyUtilsBean,org.apache.commons.beanutils,17
