,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,16,src\java\org\apache\commons\codec\language\Metaphone.java,7748f47dcab2b77d0aeceef6af87b13851c3e7f3,1602,0,1cfa3a0b85459808392caa7732f30e0bbb6925c7,CODEC_1_2_RC1,2003-05-29 23:03:29,CODEC_1_2_RC1,,org.apache.commons.codec.language.Metaphone,org.apache.commons.codec.language,0
1,57,src\java\org\apache\commons\codec\language\Metaphone.java,9c0cabead7cf075308b11362172ae1a48d41321c,22,0,292322e9b3e14e4b560ff1ba0b8648a533d064b8,CODEC_1_4_RC1,2008-04-27 00:33:06,CODEC_1_4_RC1,,org.apache.commons.codec.language.Metaphone,org.apache.commons.codec.language,1
2,72,src\java\org\apache\commons\codec\language\Soundex.java,cb63f4a959e30de6882b20af10d189c7307a6da2,98,0,981c0002d5accb9ebc056b7a34025fd814c4e17f,CODEC_1_4_RC1,2009-03-24 07:18:36,CODEC_1_4_RC1,,org.apache.commons.codec.language.Soundex,org.apache.commons.codec.language,2
3,6,src\java\org\apache\commons\codec\binary\StringBytesUtils.java,4d67ff229be56b150180cd6652d118075d171e05,1254,0,a870413801679ec8d0eefd97878a87bb2697ae5e,CODEC_1_4_RC1,2009-07-21 08:00:52,CODEC_1_4_RC1,,org.apache.commons.codec.binary.StringBytesUtils,org.apache.commons.codec.binary,3
4,89,src\java\org\apache\commons\codec\binary\Base64.java,bcfef8906931a7929a6db14b9d82d387fd3f17f6,20,0,38ba13232cb37374e3c333e2121ebad8a793935c,commons-codec-1.5-RC1,2010-03-27 00:02:22,commons-codec-1.5-RC1,,org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary,4
5,98,src\java\org\apache\commons\codec\binary\Base64.java,800f0531068ebaf2f2d257bb1bd805781ddd4760,22,0,4c6eea410d34d7ff4aa5c30fb7a2fa7c349dae18,commons-codec-1.5-RC1,2010-06-01 21:52:33,commons-codec-1.5-RC1,,org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary,5
6,101,src\java\org\apache\commons\codec\binary\Base64InputStream.java,d74fc31604c805a47c44d7853f63a3b06ad6c016,230,0,5a0d6b1d2b38a8026b1e160b0de9d9d56b07665c,commons-codec-1.5-RC1,2011-01-21 19:19:51,commons-codec-1.5-RC1,,org.apache.commons.codec.binary.Base64InputStream,org.apache.commons.codec.binary,6
7,105,src\java\org\apache\commons\codec\binary\Base64.java,2c13032a16e37b7bc9e0272d25fc185b5c82b42e,330,0,931e25921dc0ec705a0055655aa2b2237a0888d7,commons-codec-1.5-RC1,2011-01-24 00:46:09,commons-codec-1.5-RC1,,org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary,7
8,111,src\java\org\apache\commons\codec\net\URLCodec.java,8269f17bdb90ebfbfc498503a601e085c7b458aa,16,0,85b09d76f239b20cf3e37e5507d371c355a9b318,commons-codec-1.5-RC1,2011-01-24 01:06:33,commons-codec-1.5-RC1,,org.apache.commons.codec.net.URLCodec,org.apache.commons.codec.net,8
9,99,src\java\org\apache\commons\codec\binary\Base64.java,eabb90925568f9e4b04754918840db8156e5444a,35,0,5223a63fa67fddcd092b2ae214b1eff0173a52c2,commons-codec-1.5-RC1,2011-01-25 01:28:11,commons-codec-1.5-RC1,,org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary,9
10,112,src\java\org\apache\commons\codec\binary\Base64.java,c5291ab1ca4d4d7a041874a66b1c05b7d5c02ccb,10,0,b396c535ff143cf94ea0d11f50739da1709ec290,commons-codec-1.5-RC1,2011-01-26 23:40:25,commons-codec-1.5-RC1,,org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary,10
11,5,src\java\org\apache\commons\codec\CharEncoding.java,36e7620574736400941c5154bf663b198abafa7c,68,0,af1ad3d72b2b07728b8060153525e8461b17ce6f,commons-codec-1.6-RC1,2011-04-01 05:48:27,commons-codec-1.6-RC1,,org.apache.commons.codec.CharEncoding,org.apache.commons.codec,11
12,2,src\java\org\apache\commons\codec\binary\BinaryCodec.java,d905bc98e372c13c1c43ccc60bfa688bf7531e07,116,0,21d7caa09a2f0e4565670204e20301f9f8d71ed2,commons-codec-1.6-RC1,2011-08-12 17:27:38,commons-codec-1.6-RC1,,org.apache.commons.codec.binary.BinaryCodec,org.apache.commons.codec.binary,12
13,121,src\main\java\org\apache\commons\codec\net\QuotedPrintableCodec.java,29220884e616c750cf8bed06ad939d1c366b8c94,843,0,0c7461b7752cb6840cc5997d54e2ce6930bc1702,1.7-RC1,2012-03-19 20:21:26,1.7-RC1,,org.apache.commons.codec.net.QuotedPrintableCodec,org.apache.commons.codec.net,13
14,1,src\main\java\org\apache\commons\codec\digest\DigestUtils.java,914185bab8af0db467219526b7f04f9c8934bae0,70,0,b8e9258ae55a83f35f90f6a333dd167dee014675,1.7-RC1,2012-09-04 19:35:06,1.7-RC1,,org.apache.commons.codec.digest.DigestUtils,org.apache.commons.codec.digest,14
15,160,src\main\java\org\apache\commons\codec\binary\Base64.java,bedf8732cf2d09f4d5fd1360e2f23e7891af48aa,50,0,ca5047cdc0a682af5db270423cc8705f2820d91d,1.8-RC1,2012-10-09 18:26:22,1.8-RC1,,org.apache.commons.codec.binary.Base64,org.apache.commons.codec.binary,15
16,170,src\main\java\org\apache\commons\codec\binary\Base32.java,7fb904ff9e0d5903fa91d967543aed54d97cfe36,50,0,21a8423514bcbcebd24e3d1c120da62683ad70f0,1.9-RC1,2013-06-01 08:43:58,1.9-RC1,,org.apache.commons.codec.binary.Base32,org.apache.commons.codec.binary,16
