,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,3,src\java\org\apache\commons\collections\CommonsLinkedList.java,f8acd98e116824549d77c736a8cf99657b3f7406,233,0,9be6a962ed47c681a14f9d613d30e15e75018c66,collections-snapshot-20040102,2003-10-05 06:41:08,collections-snapshot-20040102,,org.apache.commons.collections.CommonsLinkedList,org.apache.commons.collections,0
1,217,src\java\org\apache\commons\collections\map\Flat3Map.java,f8aa3e033c1fde4a434864f666315b433498d32c,32,0,b1cd358495cae3df8e0e32147ef433cce83390c8,pre-generics,2006-07-18 22:03:00,pre-generics,,org.apache.commons.collections.map.Flat3Map,org.apache.commons.collections.map,1
2,214,src\java\org\apache\commons\collections\ExtendedProperties.java,3f09772b742d7886c5a18427c9838fb267cc335b,205,0,f8aa3e033c1fde4a434864f666315b433498d32c,pre-generics,2006-07-18 22:44:49,pre-generics,,org.apache.commons.collections.ExtendedProperties,org.apache.commons.collections,2
3,219,src\java\org\apache\commons\collections\CollectionUtils.java,66c4b99ddc7daea806c1318a40736d0f5c8fa7bd,30,0,3f09772b742d7886c5a18427c9838fb267cc335b,pre-generics,2006-08-02 20:24:02,pre-generics,,org.apache.commons.collections.CollectionUtils,org.apache.commons.collections,3
4,228,src\java\org\apache\commons\collections\map\MultiValueMap.java,5e313d14b2a10ce0aea529ac4db50e183f0b1e49,85,0,139636b502dd144b7f6070a8f30b46913ef6965a,collections-3.3-RC1,2006-10-28 12:27:01,pre-generics,,org.apache.commons.collections.map.MultiValueMap,org.apache.commons.collections.map,4
5,249,src\java\org\apache\commons\collections\list\SetUniqueList.java,f43e0a53c1f4d3335e720131973dfc8e1103f5f9,110,0,d0128142ff08d9a9dc5c1ca483594abb21f90353,collections-3.3-RC1,2007-04-21 13:44:46,collections-3.3-RC1,,org.apache.commons.collections.list.SetUniqueList,org.apache.commons.collections.list,5
6,261,src\java\org\apache\commons\collections\map\Flat3Map.java,1d5610521f5846c1d6f7d0a65f93c384dbf33e8d,60,0,95a3fecee0f7a87624e490f0026b391188f9aceb,collections-3.3-RC1,2007-08-20 14:11:47,collections-3.3-RC1,,org.apache.commons.collections.map.Flat3Map,org.apache.commons.collections.map,6
7,264,src\java\org\apache\commons\collections\FastTreeMap.java,d0df8e55b0d1a8e4a838fa522286963383f0b0a7,20,0,7c260a6e48a23792b87e7eb65b4b6a4e0dd913e2,collections-3.3-RC1,2007-08-31 09:39:36,collections-3.3-RC1,,org.apache.commons.collections.FastTreeMap,org.apache.commons.collections,7
8,256,src\java\org\apache\commons\collections\bag\TransformedBag.java,3af55cd334f9a279aabc5924583a769f9301448b,114,0,d0df8e55b0d1a8e4a838fa522286963383f0b0a7,collections-3.3-RC1,2007-09-05 13:38:47,collections-3.3-RC1,,org.apache.commons.collections.bag.TransformedBag,org.apache.commons.collections.bag,8
9,255,src\java\org\apache\commons\collections\bidimap\TreeBidiMap.java,3d70b9cc190765f3c8edc85d47cb44f50d668c30,22,0,8357f61e3d872976034dc7710799fe53aeee6cb8,collections-3.3-RC1,2007-09-13 03:45:29,collections-3.3-RC1,,org.apache.commons.collections.bidimap.TreeBidiMap,org.apache.commons.collections.bidimap,9
