,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,8,src\main\java\org\apache\commons\scxml\io\SCXMLDigester.java,a55ed3b8a6fc5b78070f77704f6bce7ce7862c75,3678,0,8bd64da66462f050fa77dd01e3181cdbaf9b3e81,SCXML_0_5_RC1,2006-05-18 01:16:30,SCXML_0_5_RC1,,org.apache.commons.scxml.io.SCXMLDigester,org.apache.commons.scxml.io,0
1,3,src\main\java\org\apache\commons\scxml\model\Assign.java,faf666d58946bfa1c082a1428e2c189bb972aecc,388,0,e0d5da9c87a724eb32efa202e4b5c745ed70ce5c,SCXML_0_5_RC2,2006-07-19 14:48:50,SCXML_0_5_RC2,,org.apache.commons.scxml.model.Assign,org.apache.commons.scxml.model,1
2,14,src\main\java\org\apache\commons\scxml\io\ModelUpdater.java,2bff4be4f58a70359154b9b5752074586ff3c852,17,0,83b431e47c3b9fb9ddd723ba7afd2736ff3aaa47,SCXML_0_6_RC1,2006-08-07 23:53:33,SCXML_0_6_RC1,,org.apache.commons.scxml.io.ModelUpdater,org.apache.commons.scxml.io,2
3,23,src\main\java\org\apache\commons\scxml\io\SCXMLDigester.java,6502e1f3e08c06da154ee054fc003d07d6956ecf,50,0,078463c1fb28d81ccaf77235e702377797220ad7,SCXML_0_6_RC1,2006-09-29 17:54:33,SCXML_0_6_RC1,,org.apache.commons.scxml.io.SCXMLDigester,org.apache.commons.scxml.io,3
4,25,src\main\java\org\apache\commons\scxml\semantics\ErrorConstants.java,9243bf12d6f098f20a12e7f4e14bebee76c907df,309,0,71e6f40506bb3987f86610384da6e364ded77561,SCXML_0_6_RC1,2006-10-02 16:53:06,SCXML_0_6_RC1,,org.apache.commons.scxml.semantics.ErrorConstants,org.apache.commons.scxml.semantics,4
5,2,src\main\java\org\apache\commons\scxml\NotificationRegistry.java,18382e40fce72c3012467787ef8ea92a5873a9bf,46,0,edfe1b948e3f97c217149a83a7d3db223166b7a1,SCXML_0_6_RC1,2006-10-11 19:05:57,SCXML_0_6_RC1,,org.apache.commons.scxml.NotificationRegistry,org.apache.commons.scxml,5
6,21,src\main\java\org\apache\commons\scxml\env\SimpleScheduler.java,db1e09c815847d5d11d063bb925af61e1784ac40,1089,0,18382e40fce72c3012467787ef8ea92a5873a9bf,SCXML_0_6_RC1,2006-10-17 17:07:55,SCXML_0_6_RC1,,org.apache.commons.scxml.env.SimpleScheduler,org.apache.commons.scxml.env,6
7,16,src\main\java\org\apache\commons\scxml\model\Send.java,fce1781851482aeb222055b88d3d211711332661,170,0,7cfd3fadc54993eedf39900e16f03bfe653a9b2f,SCXML_0_6_RC2,2006-12-13 21:49:37,SCXML_0_6_RC2,,org.apache.commons.scxml.model.Send,org.apache.commons.scxml.model,7
8,45,src\main\java\org\apache\commons\scxml\SCXMLExecutor.java,0bea61856040da5f82b48d1279daeaf48a197e0a,12,0,9fa0f41329a348ec7739a35f4bde25e4c53a0386,SCXML_0_7_RC1,2007-05-29 16:31:02,SCXML_0_7_RC1,,org.apache.commons.scxml.SCXMLExecutor,org.apache.commons.scxml,8
9,48,src\main\java\org\apache\commons\scxml\env\AbstractStateMachine.java,d62cd6d15ed547393bfc1d60bda14c9d113c5133,425,0,aeebe99c7bd82064184db562bb149b421a5efb1e,SCXML_0_7_RC1,2007-06-26 20:58:10,SCXML_0_7_RC1,,org.apache.commons.scxml.env.AbstractStateMachine,org.apache.commons.scxml.env,9
10,51,src\main\java\org\apache\commons\scxml\model\Assign.java,a4a7e5eade3fbe27c3852feaf9f51193196b187c,40,0,347560292188be15df12469722e1ef05b9372343,SCXML_0_7_RC1,2007-07-27 20:57:40,SCXML_0_7_RC1,,org.apache.commons.scxml.model.Assign,org.apache.commons.scxml.model,10
11,52,src\main\java\org\apache\commons\scxml\semantics\SCXMLSemanticsImpl.java,dc08785c4b8a274dac90a935b674a2c53b8c242a,150,0,00853f75a02c1d2abc58621290d59227db0fdc52,SCXML_0_7_RC1,2007-08-02 02:32:18,SCXML_0_7_RC1,,org.apache.commons.scxml.semantics.SCXMLSemanticsImpl,org.apache.commons.scxml.semantics,11
12,49,src\main\java\org\apache\commons\scxml\invoke\SimpleSCXMLInvoker.java,5b1aaeff19ba38e6f80ebef41fb86f00843fab31,27,0,224c4cec16766e783542f98293e133c6302f5cc3,SCXML_0_7_RC1,2007-08-06 21:38:03,SCXML_0_7_RC1,,org.apache.commons.scxml.invoke.SimpleSCXMLInvoker,org.apache.commons.scxml.invoke,12
13,54,src\main\java\org\apache\commons\scxml\SCXMLExecutor.java,4768d0f67c1edeb4c608f4cb7a5624180aca93d5,120,0,b74de711935d0c67d2520d0c434a9727a4a4b52c,SCXML_0_7_RC1,2007-12-04 03:21:47,SCXML_0_7_RC1,,org.apache.commons.scxml.SCXMLExecutor,org.apache.commons.scxml,13
14,60,src\main\java\org\apache\commons\scxml\invoke\AsyncTrigger.java,f9641fae3def8457ac754e657045fe8cd1456d62,48,0,d963bcb79495a35227a4d34f1b4b2b7665bfdd28,SCXML_0_7_RC1,2007-12-04 03:56:17,SCXML_0_7_RC1,,org.apache.commons.scxml.invoke.AsyncTrigger,org.apache.commons.scxml.invoke,14
15,58,src\main\java\org\apache\commons\scxml\SCInstance.java,7a40cd30e35e0117c21800914d27307cb24a5241,171,0,faacf9da6d41b346c73a71393ac4a7c7eacf22fd,SCXML_0_7_RC1,2007-12-04 21:58:33,SCXML_0_7_RC1,,org.apache.commons.scxml.SCInstance,org.apache.commons.scxml,15
16,61,src\main\java\org\apache\commons\scxml\invoke\Invoker.java,0357049cf99150b83c958eec31c8a23d33018064,26,0,8817b2cced29228125275c6871c93daf4c09fb1f,SCXML_0_7_RC1,2007-12-04 23:18:03,SCXML_0_7_RC1,,org.apache.commons.scxml.invoke.Invoker,org.apache.commons.scxml.invoke,16
17,53,src\main\java\org\apache\commons\scxml\semantics\SCXMLSemanticsImpl.java,6af87de2d085a1224feec4ccaa88a0fbc6595006,255,0,17c80b889dd561a0a1f704c3d93ba2fdcc07cd47,SCXML_0_7_RC1,2007-12-06 07:30:32,SCXML_0_7_RC1,,org.apache.commons.scxml.semantics.SCXMLSemanticsImpl,org.apache.commons.scxml.semantics,17
18,67,src\main\java\org\apache\commons\scxml\io\SCXMLSerializer.java,f230048c444053f5bb0ce5bbfea21ea747326795,40,0,39ed0ebba422265328289727023253ff5e73dbb1,SCXML_0_8_RC1,2008-02-10 04:23:38,SCXML_0_8_RC1,,org.apache.commons.scxml.io.SCXMLSerializer,org.apache.commons.scxml.io,18
19,4,src\main\java\org\apache\commons\scxml\env\javascript\JSContext.java,759a383c425beffe8bad161de4d9dfb96c068653,172,0,a036960df7ebfc1553516c48cc66faf41736a633,commons-scxml2-2.0-M0,2008-04-26 01:25:18,commons-scxml2-2.0-M0,,org.apache.commons.scxml.env.javascript.JSContext,org.apache.commons.scxml.env.javascript,19
20,64,src\main\java\org\apache\commons\scxml\io\SCXMLParser.java,900cbc151478e1a8524f94c4375fbad2dfda50af,201,0,5b3bfd7222a0fbc29c21e83c3558b18cb0f4bb28,SCXML_0_8_RC1,2008-05-04 02:45:17,SCXML_0_8_RC1,,org.apache.commons.scxml.io.SCXMLParser,org.apache.commons.scxml.io,20
21,71,src\main\java\org\apache\commons\scxml\env\javascript\JSEvaluator.java,c5140488f2c84ba12bd32982ddeca0f866655b4f,42,0,161e8be6b0789d431184f68417de63141c85efe0,commons-scxml2-2.0-M0,2008-05-15 17:45:32,commons-scxml2-2.0-M0,,org.apache.commons.scxml.env.javascript.JSEvaluator,org.apache.commons.scxml.env.javascript,21
22,74,src\main\java\org\apache\commons\scxml\model\Data.java,a6d3fa93eef58cbfb3baed61034768de4d129d1e,140,0,a6a63e30d6d72b1f454b966fa2b566888cf1f385,commons-scxml2-2.0-M0,2008-07-12 03:15:45,commons-scxml2-2.0-M0,,org.apache.commons.scxml.model.Data,org.apache.commons.scxml.model,22
23,76,src\main\java\org\apache\commons\scxml\SCXMLHelper.java,11993580fee5048cfafffbc610bdd42c3c26d321,279,0,ec055ffbeb1ac1abe4b864981768e5365c1ff810,commons-scxml2-2.0-M0,2008-07-28 21:43:36,commons-scxml2-2.0-M0,,org.apache.commons.scxml.SCXMLHelper,org.apache.commons.scxml,23
24,77,src\main\java\org\apache\commons\scxml\semantics\SCXMLSemanticsImpl.java,e60d4d9445a96b7190213a3114c4bd6e08f95f07,136,0,76b2f8b961ad7b16af02a90221a28054d27ff48b,SCXML_0_9_RC1,2008-07-28 22:01:23,SCXML_0_9_RC1,,org.apache.commons.scxml.semantics.SCXMLSemanticsImpl,org.apache.commons.scxml.semantics,24
25,79,src\main\java\org\apache\commons\scxml\io\SCXMLSerializer.java,f3512bd08b32eee3ca068b89ff243535caffba7a,37,0,cb83899d77d88e4eb5cad6157bd15d2c45fafdd0,SCXML_0_9_RC1,2008-07-31 03:52:10,SCXML_0_9_RC1,,org.apache.commons.scxml.io.SCXMLSerializer,org.apache.commons.scxml.io,25
26,87,src\main\java\org\apache\commons\scxml\env\SimpleScheduler.java,11d0f48bf838cd5dbdf347d4545c72e10d10b361,110,0,199037a5bab0c834bdc8e5fcb3d3b0e1380f23e5,SCXML_0_9_RC1,2008-11-14 02:03:45,SCXML_0_9_RC1,,org.apache.commons.scxml.env.SimpleScheduler,org.apache.commons.scxml.env,26
27,89,src\main\java\org\apache\commons\scxml\model\Assign.java,51f590b5f7bb15439d2baf70a4c3778f063966f6,45,0,04958fbd867b019cb4c3d375523b9af2c6a1b586,SCXML_0_9_RC1,2008-11-14 23:43:16,SCXML_0_9_RC1,,org.apache.commons.scxml.model.Assign,org.apache.commons.scxml.model,27
28,82,src\main\java\org\apache\commons\scxml\model\TransitionTarget.java,3cafe820ce22f6607e64fddf046d2712766e1530,364,0,51f590b5f7bb15439d2baf70a4c3778f063966f6,SCXML_0_9_RC1,2008-11-18 22:32:57,SCXML_0_9_RC1,,org.apache.commons.scxml.model.TransitionTarget,org.apache.commons.scxml.model,28
29,83,src\main\java\org\apache\commons\scxml\io\SCXMLSerializer.java,2834270e6589169f1ad7657d0ff60b09afccf240,175,0,3cafe820ce22f6607e64fddf046d2712766e1530,SCXML_0_9_RC1,2008-11-18 23:29:59,SCXML_0_9_RC1,,org.apache.commons.scxml.io.SCXMLSerializer,org.apache.commons.scxml.io,29
