,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,4,src\share\org\apache\commons\validator\Field.java,25ff58b89156947d1513ed8648b3796bd23c1c3e,1489,0,404e33ce17d1692a44183cb1ea0a9bb842eef9cd,VALIDATOR_1_1_0,2003-05-25 18:00:24,VALIDATOR_1_1_0,,org.apache.commons.validator.Field,org.apache.commons.validator,0
1,100,src\example\org\apache\commons\validator\example\ValidateBean.java,7b7caec0d0e7ff4a7a3dde19c4ff866b174cbbbb,255,0,bb86d8bf48453b7178f6805f70fb4f2d36571b1e,VALIDATOR_1_1_4,2004-02-21 17:10:30,VALIDATOR_1_1_4,,org.apache.commons.validator.example.ValidateBean,org.apache.commons.validator.example,1
2,189,src\share\org\apache\commons\validator\Field.java,cd20d69f5369dd661c8eed5e7f9f924aeaf11ee4,175,0,faf6509899969e43c8a2eaa6920cb35168a8816a,VALIDATOR_1_3_1_RC1,2006-05-30 17:41:51,VALIDATOR_1_3_1_RC1,,org.apache.commons.validator.Field,org.apache.commons.validator,2
3,198,src\share\org\apache\commons\validator\ValidatorAction.java,675b1f5b4f7a4fe26fa5aacb7827ed16fd029662,10,0,f7641e9dd11f200025524a3d16a18bc39f88e434,VALIDATOR_1_3_1_RC1,2006-08-18 14:02:45,VALIDATOR_1_3_1_RC1,,org.apache.commons.validator.ValidatorAction,org.apache.commons.validator,3
4,195,src\share\org\apache\commons\validator\ValidatorResources.java,7f6d2217fe853ff3c0085395aa724b1e5bb8e9c5,57,0,c2c25b85aa16b71965f76ea8eadeb381aa3b6239,VALIDATOR_1_3_1_RC1,2006-11-22 23:51:09,VALIDATOR_1_3_1_RC1,,org.apache.commons.validator.ValidatorResources,org.apache.commons.validator,4
5,190,src\share\org\apache\commons\validator\EmailValidator.java,b66045712d5867a57229e2e8303f16a9aa80fdcf,8,0,f675cbfd608c4390733098328309574f1ed87ec7,VALIDATOR_1_3_1_RC1,2006-11-23 13:09:27,VALIDATOR_1_3_1_RC1,,org.apache.commons.validator.EmailValidator,org.apache.commons.validator,5
6,13,src\share\org\apache\commons\validator\routines\ISBNValidator.java,58156c57c1b3d6dee2c90e06d87e49b69e9b50a0,1171,0,536bfe588f58e6c7054e8e6091088c5162a738cc,VALIDATOR_1_4_0_BETA1_RC1,2006-12-13 17:35:23,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.ISBNValidator,org.apache.commons.validator.routines,6
7,220,src\main\java\org\apache\commons\validator\routines\EmailValidator.java,82efb7f10a7a3dc045c4bc9571b2ab592c60f60d,357,0,6179dd43d96705628d8f303ff7f3167b80a9c993,VALIDATOR_1_4_0_BETA1_RC1,2007-10-30 02:40:03,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.EmailValidator,org.apache.commons.validator.routines,7
8,202,src\main\java\org\apache\commons\validator\routines\UrlValidator.java,18afdcb4b17aa0a4ff7c0e73b2c35b559cda1fc4,255,0,feda05bd8ef0cdc7dd8beb9c975dc90def81f4c1,VALIDATOR_1_4_0_BETA1_RC1,2007-10-30 06:33:59,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.UrlValidator,org.apache.commons.validator.routines,8
9,218,src\main\java\org\apache\commons\validator\routines\UrlValidator.java,635ba2bf6cfe09594cd8a72b65eaea9321ab62f4,10,0,b266ec40183da15de916b6eb14d3c9999b600a77,VALIDATOR_1_4_0_BETA1_RC1,2007-11-01 06:59:51,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.UrlValidator,org.apache.commons.validator.routines,9
10,240,src\main\java\org\apache\commons\validator\routines\CreditCardValidator.java,dc1a309d08fa48692ff28c273597b13ee695a67c,25,0,248b5779f196e44c4a69cccb4e36581b2e35447d,VALIDATOR_1_4_0_BETA1_RC1,2007-11-14 04:55:45,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.CreditCardValidator,org.apache.commons.validator.routines,10
11,294,src\main\java\org\apache\commons\validator\routines\CodeValidator.java,ccb0bba48e88c4a66f2d8111437aa314df4fbad1,40,0,82b606bdc99b94dfa789f1c6554169d01bcee36f,VALIDATOR_1_4_0_BETA1_RC1,2011-04-18 22:40:24,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.CodeValidator,org.apache.commons.validator.routines,11
12,292,src\main\java\org\apache\commons\validator\routines\DomainValidator.java,99416b6ad6f1e0eb7f880110242cf7f56cfb8cfe,277,0,4fdca223ea9a9a001a5c7fb8b7a1a9e1e2601c91,VALIDATOR_1_4_0_BETA1_RC1,2011-05-27 15:00:45,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.DomainValidator,org.apache.commons.validator.routines,12
13,282,src\main\java\org\apache\commons\validator\GenericTypeValidator.java,702283a604f830a4b26227a985001e1eeeb08a72,150,0,99416b6ad6f1e0eb7f880110242cf7f56cfb8cfe,VALIDATOR_1_4_0_BETA1_RC1,2011-05-27 15:16:36,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.GenericTypeValidator,org.apache.commons.validator,13
14,288,src\main\java\org\apache\commons\validator\routines\DomainValidator.java,29db3b8d20363eddc3d63138eb4c171a38026a08,30,0,1ed5b4f9b1ae9136b2749fd0ef33f2efefc6762f,VALIDATOR_1_4_0_BETA1_RC1,2011-05-27 17:03:51,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.DomainValidator,org.apache.commons.validator.routines,14
15,276,src\main\java\org\apache\commons\validator\routines\UrlValidator.java,b9f179c29e965eb4e9bf15acb86d56c8d4b51088,65,0,0456e7a94e139a104f3190e41372511dc82538a5,VALIDATOR_1_4_0_BETA1_RC1,2011-05-27 20:29:27,VALIDATOR_1_4_0_BETA1_RC1,,org.apache.commons.validator.routines.UrlValidator,org.apache.commons.validator.routines,15
16,273,src\main\java\org\apache\commons\validator\routines\EmailValidator.java,7ff07e7799577aecaae22e8a5a9346707e676e3e,15,0,9f2301621de691bf98c533708231c9a248c9cb8a,VALIDATOR_1_4_1_RC1,2014-07-07 19:54:07,VALIDATOR_1_4_1_RC1,,org.apache.commons.validator.routines.EmailValidator,org.apache.commons.validator.routines,16
17,266,src\main\java\org\apache\commons\validator\routines\DomainValidator.java,a7255053f3deee94c02589fe6292406bd96cec6a,90,0,7ff07e7799577aecaae22e8a5a9346707e676e3e,VALIDATOR_1_4_1_RC1,2014-07-07 20:21:21,VALIDATOR_1_4_1_RC1,,org.apache.commons.validator.routines.DomainValidator,org.apache.commons.validator.routines,17
18,305,src\main\java\org\apache\commons\validator\routines\DomainValidator.java,6d201c35d86e3468796b56236935939e73dd50ff,1315,0,0179c9836671611df25d5d080a5151caf740bf8b,VALIDATOR_1_4_1_RC1,2014-11-09 11:07:11,VALIDATOR_1_4_1_RC1,,org.apache.commons.validator.routines.DomainValidator,org.apache.commons.validator.routines,18
