,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,10,src\main\java\de\unisb\cs\st\evosuite\coverage\dataflow\DefUseCoverageTestFitness.java,ec2a0738d866c7d864a22588c2d7c3feef77cae1,480,0,aa3a5dc216f7d8e1c7ed74efe55a5a7747840f12,v1.0.2,2011-03-25 13:03:48,v1.0.2,,None,,0
1,184,src\main\java\de\unisb\cs\st\evosuite\cfg\ActualControlFlowGraph.java,9a54c35c715f0065304521b08d36aa25896e7a43,506,0,aefa10b54686c73e6f4cf7d5360630f6d71259b6,v1.0.2,2011-05-12 17:41:37,v1.0.2,,None,,1
2,215,src\main\java\de\unisb\cs\st\evosuite\cfg\DominatorTree.java,fe270a5992200b8e7729dbbf0e6d4a1f94369b48,667,0,26deb7e11358a39236917cefaf94ff29af3d548e,v1.0.2,2011-05-26 14:30:43,v1.0.2,,None,,2
3,3,src\main\java\de\unisb\cs\st\evosuite\coverage\path\PrimePathTestFitness.java,470d9cd781170aa6587c3519c0c35510e3346c9c,24,0,3523e738cee85306a1c328b4a65eda811027af2d,v1.0.2,2011-06-03 12:23:59,v1.0.2,,None,,3
4,1,src\main\java\de\unisb\cs\st\evosuite\utils\ReportGenerator.java,8691941bad4081792b926cd3f2678465cd7fa6f8,4234,0,dc3bb908ddcf73c47e0c5b28921d4ca977b4c251,v1.0.2,2011-06-12 20:52:32,v1.0.2,,None,,4
5,95,src\main\java\de\unisb\cs\st\evosuite\cfg\ActualControlFlowGraph.java,5ae870781f9f0654cb7a9a172ec57bbb7f85bb4b,50,0,62a0a76f08a9ca8f2ae07dab68c3562c1f4fed27,v1.0.2,2011-09-07 21:00:44,v1.0.2,,None,,5
6,188,src\main\java\de\unisb\cs\st\evosuite\symbolic\search\Changer.java,f52b3fccb2d43c4487669ccf9496bf8654c610be,882,0,694c8dcf475bfa25a20671daceae3a7b35a3c43f,v1.0.2,2012-01-17 16:59:47,v1.0.2,,None,,6
7,32,src\main\java\org\evosuite\symbolic\search\StringAVM.java,0aab73eb7fbe3860ce286a2e6f45db1294e853a9,220,0,fa0409827dcdf14574b8541ef8d2b40dfd415aa8,v1.0.2,2013-02-13 08:01:54,v1.0.2,,org.evosuite.symbolic.search.StringAVM,org.evosuite.symbolic.search,7
8,2,src\main\java\org\evosuite\symbolic\search\ConstraintSolver.java,3989e2002c7f088c3e50cebdac23baf6f835838f,288,0,e6ed5f408dd56e0f59333779e6a67e0292fb6e91,v1.0.2,2013-02-13 23:48:54,v1.0.2,,org.evosuite.symbolic.search.ConstraintSolver,org.evosuite.symbolic.search,8
9,7,src\main\java\org\evosuite\utils\GenericTypeInference.java,0582d4bf6bfb6164d9e8dc440ca772b46c3dfc8c,432,0,5f83e73d5c21c58bca4b17cfe22036ee4a44dd81,v1.0.2,2013-05-02 18:41:13,v1.0.2,,org.evosuite.utils.GenericTypeInference,org.evosuite.utils,9
10,14,src\main\java\org\evosuite\graphs\cfg\CFGMethodAdapter.java,2abd30f8abb32e3477fc385331f44056a620ce59,245,0,833bf719c2299d6efc2794801765d2000134fa14,v1.0.2,2013-09-23 12:52:32,v1.0.2,,org.evosuite.graphs.cfg.CFGMethodAdapter,org.evosuite.graphs.cfg,10
11,8,plugins\eclipse\evosuite-eclipse\src\main\java\org\evosuite\eclipse\properties\EvosuitePropertyPage.java,d57f2f1dedafbc7598bf69a4687d0497dad69541,4724,0,cf88fdfbe7ad371d99ef12dba788335e11783865,v1.0.2,2015-08-04 16:42:52,v1.0.2,,org.evosuite.eclipse.properties.EvosuitePropertyPage,org.evosuite.eclipse.properties,11
12,6,plugins\intellij\src\org\evosuite\intellij\EvoParameters.java,1297faff933f3b690363370bc6682c23845d2a7d,186,0,1f449a531d70b3b7233a98873e569f6fc61cf202,v1.0.2,2015-11-05 21:25:36,v1.0.2,,org.evosuite.intellij.EvoParameters,org.evosuite.intellij,12
