,project,url
0,commons-math,https://github.com/apache/commons-math.git
1,tika,https://github.com/apache/tika.git
2,commons-lang,https://github.com/apache/commons-lang.git
3,pig,https://github.com/apache/pig.git
4,accumulo,https://github.com/apache/accumulo.git
5,commons-beanutils,https://github.com/apache/commons-beanutils.git
6,commons-bcel,https://github.com/apache/commons-bcel.git
7,commons-codec,https://github.com/apache/commons-codec.git
8,commons-dbutils,https://github.com/apache/commons-dbutils.git
9,commons-email,https://github.com/apache/commons-email.git
