,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,40,src\main\java\org\jfrog\hudson\ArtifactoryRedeployPublisher.java,9e7ec2cb5cff009f572258c36f98e97829dd9cbc,17,0,edba9ed383f23626fb392ddfb6269a377b2e6f9c,artifactory-1.2.0,2010-06-22 05:32:09,artifactory-1.2.0,,org.jfrog.hudson.ArtifactoryRedeployPublisher,org.jfrog.hudson,0
1,51,src\main\java\org\jfrog\hudson\ArtifactsDeployer.java,7abf3a36ef222b2f44a8c3e6d7fb0bde7244f50a,57,0,77586cfdd6fdbd7f013d9847bb46617ef00debc4,artifactory-1.2.0,2010-07-04 13:32:18,artifactory-1.2.0,,org.jfrog.hudson.ArtifactsDeployer,org.jfrog.hudson,1
2,52,src\main\java\org\jfrog\hudson\ArtifactsDeployer.java,8eee4c31ebf33e52a703022a7f906810cd8cc05f,56,0,a9498e2524e6136ac0f3ea42844994f0cae1cec8,artifactory-1.2.0,2010-07-14 08:37:01,artifactory-1.2.0,,org.jfrog.hudson.ArtifactsDeployer,org.jfrog.hudson,2
3,8,src\main\java\org\jfrog\hudson\ivy\ArtifactoryIvyRunListener.java,2323c0f11dfd72e8fd2aeec13ff3a86d950f1e01,60,0,5b053fd66664a35d14dbec3db07ff6a636d21b39,artifactory-1.2.0,2010-07-22 13:07:32,artifactory-1.2.0,,org.jfrog.hudson.ivy.ArtifactoryIvyRunListener,org.jfrog.hudson.ivy,3
4,9,src\main\java\org\jfrog\hudson\ivy\ArtifactoryIvyConfigurator.java,1f5f9327d8d4f11705011398f78c309e70d298fb,31,0,2323c0f11dfd72e8fd2aeec13ff3a86d950f1e01,artifactory-1.2.0,2010-07-22 13:49:47,artifactory-1.2.0,,org.jfrog.hudson.ivy.ArtifactoryIvyConfigurator,org.jfrog.hudson.ivy,4
5,10,src\main\java\org\jfrog\hudson\ivy\ArtifactoryIvyConfigurator.java,3f421ed52646671fdaeb54c9693979f5adacae81,20,0,1f5f9327d8d4f11705011398f78c309e70d298fb,artifactory-1.2.0,2010-07-22 15:05:09,artifactory-1.2.0,,org.jfrog.hudson.ivy.ArtifactoryIvyConfigurator,org.jfrog.hudson.ivy,5
6,71,src\main\java\org\jfrog\hudson\maven3\ArtifactoryMaven3Configurator.java,88c99f274c5d269f269971cba4e72069f81a2b44,35,0,e5aca8708a48d6390695e5c98d50ada903e308b4,artifactory-1.3.0,2010-08-22 08:17:54,artifactory-1.3.0,,org.jfrog.hudson.maven3.ArtifactoryMaven3Configurator,org.jfrog.hudson.maven3,6
7,85,src\main\java\org\jfrog\hudson\maven2\BuildInfoDeployer.java,2df8542ced5610668f5aececb178be1fe549c467,35,0,22cbbab9757773be7ad6ab3869db72d1905045a1,artifactory-1.3.1,2010-09-19 09:32:23,artifactory-1.3.1,,org.jfrog.hudson.maven2.BuildInfoDeployer,org.jfrog.hudson.maven2,7
8,94,src\main\java\org\jfrog\hudson\ivy\ArtifactoryIvyRunListener.java,d68b08d6ee9ef3b109dfa2638c29b02567ed2000,30,0,bd933f5c7183c8aaecafb88c5a379be2b25d6445,artifactory-1.3.2,2010-10-17 16:55:10,artifactory-1.3.2,,org.jfrog.hudson.ivy.ArtifactoryIvyRunListener,org.jfrog.hudson.ivy,8
9,93,src\main\java\org\jfrog\hudson\ArtifactoryRedeployPublisher.java,8dbb97ec387964670e44511dd7f3051e121abe89,79,0,f3eeafb7894caefe136fee03eb01b50647ff54c4,artifactory-1.3.4,2010-10-26 09:09:58,artifactory-1.3.4,,org.jfrog.hudson.ArtifactoryRedeployPublisher,org.jfrog.hudson,9
