,issue,component_path,commit,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
0,3,src\main\java\org\junit\experimental\max\MaxCore.java,6eb76c8b08c738823546fe5b935b653951fc773e,145,0,894bfd3caea6a70f15aaf317bc031af6b6a588c9,r3.8.2,2009-02-24 05:00:44,r3.8.2,,org.junit.experimental.max.MaxCore,org.junit.experimental.max,0
1,96,src\main\java\junit\framework\TestSuite.java,2de4d6f2bcf699b94614f9208f620f4c56bc9876,109,0,1d86784cd452e8d9e30d812255cadb75ef8dae15,r4.8.1,2010-04-06 01:43:42,r4.8.1,,None,,1
2,5,src\main\java\junit\framework\Assert.java,96a6ba68d16d00940d58151be5cb2ab642f6d51d,10,0,01b427b3b89ce04d01f0ddbd746d13a175feec5b,r4.9b1,2011-04-29 19:24:40,r4.9b1,,None,,2
3,227,src\main\java\org\junit\runners\ParentRunner.java,dfd0bba58bfdacfd8802ee07c8f83ee794a51aba,10,0,01b427b3b89ce04d01f0ddbd746d13a175feec5b,r4.9b1,2011-05-30 18:58:46,r4.9b1,,org.junit.runners.ParentRunner,org.junit.runners,3
4,248,src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java,8782efa08abf5d47afdc16740678661443706740,130,0,5ded3d3231891402e07a208941d263aaf3379134,r4.9b1,2011-06-24 13:49:19,r4.9b1,,org.junit.runners.BlockJUnit4ClassRunner,org.junit.runners,4
5,219,src\main\java\org\junit\Assert.java,0333e7efdc9ecf81df4212f82c3a59c6ff0fab19,275,0,ed2b51b0c78a079f806ea9157f77f83705f8e04b,r4.9b1,2011-06-25 05:54:01,r4.9b1,,org.junit.Assert,org.junit,5
6,254,src\main\java\org\junit\ClassRule.java,73c15ac3097078d2de1478dfecf4317a616346a3,16,0,ced634a9be569d5072699fbb97641a4957860ede,r4.9b3,2011-07-06 19:55:37,r4.9b3,,org.junit.ClassRule,org.junit,6
7,258,src\main\java\org\junit\runners\ParentRunner.java,d6f71260512973e70417b999f1efa9757659b1e1,109,0,0c114780df6a4f096493730dd004bccd44b13e15,r4.9b3,2011-07-09 20:38:07,r4.9b3,,org.junit.runners.ParentRunner,org.junit.runners,7
8,89,src\main\java\org\junit\runners\Parameterized.java,bcf4785a8ae0ad21ffefd80dcfbb360621d98806,6,0,531d7c869e294d451314261c81837e1d76afb777,r4.9b3,2011-07-22 07:44:08,r4.9b3,,org.junit.runners.Parameterized,org.junit.runners,8
9,134,src\main\java\org\junit\Assert.java,7b5641996d486bbcb33f13a9130821303e1e7d89,20,0,bcf4785a8ae0ad21ffefd80dcfbb360621d98806,r4.9b3,2011-07-28 07:24:06,r4.9b3,,org.junit.Assert,org.junit,9
10,278,src\main\java\org\junit\rules\TemporaryFolder.java,70fe94d031c7066899fc464cd4171db0884f1356,44,0,fea0643ecd075f3c231c77774fe7e8494f696867,r4.9b3,2011-08-06 22:38:12,r4.9b3,,org.junit.rules.TemporaryFolder,org.junit.rules,10
11,285,src\main\java\org\junit\runners\Parameterized.java,83219d81d0173d5444c0c127374b1684fc1384df,16,0,2c4ac2374045b1405646eca3f697fe05e1265243,r4.9b3,2011-08-11 21:59:33,r4.9b3,,org.junit.runners.Parameterized,org.junit.runners,11
