,bug_id,jira_id
0,81,393
0,290,1261
0,11,182
2,65,344
0,176,744
2,170,716
0,232,1005
0,147,604
0,17,198
0,93,411
0,64,343
2,71,369
2,276,1162
0,308,1405
0,90,373
0,182,801
0,258,1123
0,159,657
0,222,934
0,56,322
0,29,241
0,95,349
0,280,1191
0,149,619
0,228,988
0,189,844
0,39,273
0,268,727
0,151,639
4,28,238
0,243,1093
6,52,308
0,286,1255
0,162,679
0,211,929
0,218,936
0,282,1229
0,113,482
0,16,184
0,12,185
2,27,5
0,285,1251
0,173,724
0,263,1136
0,227,985
0,244,1096
0,94,415
0,84,377
0,73,367
0,278,1211
0,304,1356
4,133,554
0,30,243
0,120,494
0,102,430
0,58,326
0,191,855
0,119,489
0,255,1117
0,82,395
0,256,1115
0,63,333
0,148,618
0,241,1088
0,168,713
2,184,803
0,287,1256
0,108,466
0,188,835
2,164,702
2,25,221
0,273,1175
0,117,486
0,66,347
0,116,483
0,180,780
0,21,209
0,297,1295
