,Unnamed: 0,commit,component_path,issue,LOC_change,is_test,parent,tag_commit,date_commit,tag_parent,module,fail_component,package,index_bug
1118,1118,94e51be9f0394bc9f5d278a9e2cec12da1b38f5e,src\org\apache\pig\backend\hadoop\executionengine\HExecutionEngine.java,4556,25,0,4d3f8d263ab69c5231a329c33eac589c54bf2e22,release-0.16.0-rc0,2015-05-19 23:41:34,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.HExecutionEngine,org.apache.pig.backend.hadoop.executionengine,1118
1119,1119,0347d0e4a046a046ef2d31fa8c460768d95a874e,src\org\apache\pig\data\DataReaderWriter.java,4506,80,0,94e51be9f0394bc9f5d278a9e2cec12da1b38f5e,release-0.16.0-rc0,2015-05-19 23:46:09,release-0.16.0-rc0,,org.apache.pig.data.DataReaderWriter,org.apache.pig.data,1119
1120,1120,b39e7b8dbc92004410a76b34b785bb4d4124b490,src\org\apache\pig\data\DataType.java,4562,36,0,4933b24c358892d272058dec32179eff60e2d44c,release-0.16.0-rc0,2015-05-20 21:12:27,release-0.16.0-rc0,,org.apache.pig.data.DataType,org.apache.pig.data,1120
1121,1121,57f1f9759cf220b9c17e9ea9bad2a72336c926ae,src\org\apache\pig\backend\hadoop\executionengine\HExecutionEngine.java,4556,50,0,b39e7b8dbc92004410a76b34b785bb4d4124b490,release-0.16.0-rc0,2015-05-21 22:37:22,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.HExecutionEngine,org.apache.pig.backend.hadoop.executionengine,1121
1122,1122,6da826cf82711b141922ccd565c4339eca695cad,src\org\apache\pig\JVMReuseImpl.java,4418,124,0,16d2e31af63fd3e48b9be04e603122c56f20c7ae,release-0.16.0-rc0,2015-05-22 17:26:23,release-0.16.0-rc0,,org.apache.pig.JVMReuseImpl,org.apache.pig,1122
1123,1123,b8681b300d1f6ffca72b27c857484f1621f857f1,src\org\apache\pig\builtin\StringMax.java,4490,10,0,98063272b48483a08f007762d0d5430f5fc33bd8,release-0.16.0-rc0,2015-05-22 22:12:39,release-0.16.0-rc0,,org.apache.pig.builtin.StringMax,org.apache.pig.builtin,1123
1124,1124,d232cd04056bb9ddf54319e1cea16ad2dc45d1b6,src\org\apache\pig\backend\hadoop\executionengine\mapReduceLayer\JobControlCompiler.java,4569,129,0,2566c40e7aa05efe0888edb9965b9db19054c710,release-0.16.0-rc0,2015-05-23 06:43:58,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer,1124
1125,1125,ad8fc7edcafeecb483191e04b51185c29e0b1ea3,src\org\apache\pig\impl\util\SpillableMemoryManager.java,4564,1330,0,9ecf5ec7732f0cf2b54d163bd85dd37c3b861eaa,release-0.16.0-rc0,2015-05-23 23:00:22,release-0.16.0-rc0,,org.apache.pig.impl.util.SpillableMemoryManager,org.apache.pig.impl.util,1125
1126,1126,fe532c2b809f10526ae21fa1afe8091f5c05f970,src\org\apache\pig\impl\builtin\IsFirstReduceOfKey.java,4541,8,0,c131ebcac5d733e19272971161bafa0eb56bbdcf,release-0.16.0-rc0,2015-05-26 22:46:31,release-0.16.0-rc0,,org.apache.pig.impl.builtin.IsFirstReduceOfKey,org.apache.pig.impl.builtin,1126
1127,1127,532321edae2a6bb9103e4d55d31ba570e87e648d,src\org\apache\pig\backend\hadoop\executionengine\tez\plan\TezCompiler.java,4377,60,0,83815e259305c6bed96a7f1ee2ef450c3c47dfdf,release-0.16.0-rc0,2015-05-27 19:47:11,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.plan.TezCompiler,org.apache.pig.backend.hadoop.executionengine.tez.plan,1127
1128,1128,b54dcaa0447ff260b3b4d0dac780b051ddbb3634,src\org\apache\pig\backend\hadoop\executionengine\tez\plan\TezCompiler.java,4580,120,0,09d53288ae13a33fef027934158e025832f8aed2,release-0.16.0-rc0,2015-06-01 17:43:02,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.plan.TezCompiler,org.apache.pig.backend.hadoop.executionengine.tez.plan,1128
1129,1129,88ed5c9f069c51f915f92e808fd50d13dca93b71,src\org\apache\pig\backend\hadoop\executionengine\tez\TezResourceManager.java,4618,62,0,d0237a683e78082164df924d1a478fc44f75b075,release-0.16.0-rc0,2015-07-15 21:12:55,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.TezResourceManager,org.apache.pig.backend.hadoop.executionengine.tez,1129
1130,1130,92dce401344a28ff966ad4cf3dd969a676852315,src\org\apache\pig\impl\util\Utils.java,4624,150,0,efe1dc1c1091d543e9a1487834ffef91b6bff4af,release-0.16.0-rc0,2015-08-04 00:16:13,release-0.16.0-rc0,,org.apache.pig.impl.util.Utils,org.apache.pig.impl.util,1130
1131,1131,1dde170145be2308d00900dd2b66e1027442375b,src\org\apache\pig\backend\hadoop\executionengine\Launcher.java,4636,10,0,92dce401344a28ff966ad4cf3dd969a676852315,release-0.16.0-rc0,2015-08-04 05:35:28,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.Launcher,org.apache.pig.backend.hadoop.executionengine,1131
1132,1132,2047a2c0ac783987b15fc62b673d00e576690ea1,src\org\apache\pig\backend\hadoop\executionengine\tez\plan\optimizer\UnionOptimizer.java,4649,73,0,c11541e7c1203c8b9e39241bb0b0bb40fb4fa825,release-0.16.0-rc0,2015-08-05 20:21:53,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer.UnionOptimizer,org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer,1132
1133,1133,657f915a7fa81fb847d89cdb44838d3a57178e31,contrib\piggybank\java\src\main\java\org\apache\pig\piggybank\storage\CSVLoader.java,4623,585,0,2047a2c0ac783987b15fc62b673d00e576690ea1,release-0.16.0-rc0,2015-08-05 21:04:43,release-0.16.0-rc0,,org.apache.pig.piggybank.storage.CSVLoader,org.apache.pig.piggybank.storage,1133
1134,1134,01ad0af7e333506dadb61444725536c51e62d6c7,contrib\piggybank\java\src\main\java\org\apache\pig\piggybank\storage\CSVLoader.java,4623,585,0,57bdb547c4652b9e27447d42c146bb5e94e4b34c,release-0.16.0-rc0,2015-08-05 23:34:16,release-0.16.0-rc0,,org.apache.pig.piggybank.storage.CSVLoader,org.apache.pig.piggybank.storage,1134
1135,1135,a0e610be9be0a54414acda26f651d2ae2f4117b6,src\org\apache\pig\backend\hadoop\executionengine\physicalLayer\expressionOperators\PORelationToExprProject.java,4644,94,0,01ad0af7e333506dadb61444725536c51e62d6c7,release-0.16.0-rc0,2015-08-06 20:05:25,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.PORelationToExprProject,org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators,1135
1136,1136,ac70a21306ff730caadb779212b68710ceac1dd2,src\org\apache\pig\backend\hadoop\executionengine\tez\TezDagBuilder.java,4627,598,0,a0e610be9be0a54414acda26f651d2ae2f4117b6,release-0.16.0-rc0,2015-08-11 23:01:10,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.TezDagBuilder,org.apache.pig.backend.hadoop.executionengine.tez,1136
1137,1137,44b648315b3b914387b7e030c85f02fb283424c8,src\org\apache\pig\backend\hadoop\executionengine\mapReduceLayer\JobControlCompiler.java,4628,27,0,44fc1d7dbcf2d703c85503d88f52d6507fea482b,release-0.16.0-rc0,2015-08-12 17:10:01,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer,1137
1138,1138,4ddcca81f0c02c7e1a2762430ac54e941d3b6608,src\org\apache\pig\backend\hadoop\executionengine\mapReduceLayer\PigBytesRawComparator.java,4627,80,0,0197f8cda6b4ae1641166c8f576683935edabfcb,release-0.16.0-rc0,2015-09-02 21:47:20,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigBytesRawComparator,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer,1138
1139,1139,8cd6c1c4895dd81dbcb987e215586049eb5a7680,src\org\apache\pig\backend\hadoop\executionengine\tez\util\TezCompilerUtil.java,4315,370,0,1edcdf86f7f5fa7fec7e78cb210fde35f2779f71,release-0.16.0-rc0,2015-09-02 21:56:58,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.util.TezCompilerUtil,org.apache.pig.backend.hadoop.executionengine.tez.util,1139
1140,1140,510f71746883b23c7ea411d08bfb98cef2e3376e,src\org\apache\pig\backend\hadoop\executionengine\mapReduceLayer\InputSizeReducerEstimator.java,4679,20,0,657902bf64ca85493079bd84e1b2eb5cce6dee15,release-0.16.0-rc0,2015-09-17 02:38:59,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.InputSizeReducerEstimator,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer,1140
1141,1141,a8c680cf28ad4c2ab824c268a3dbe2783667dd94,src\org\apache\pig\builtin\TOMAP.java,4674,136,0,510f71746883b23c7ea411d08bfb98cef2e3376e,release-0.16.0-rc0,2015-09-17 02:41:02,release-0.16.0-rc0,,org.apache.pig.builtin.TOMAP,org.apache.pig.builtin,1141
1142,1142,1104a322ed6389091494c5b6a454dc63a6427a85,src\org\apache\pig\builtin\TOMAP.java,4674,10,0,fbbe22b18390377d3fdfa6ea6daa83b571f46ae5,release-0.16.0-rc0,2015-09-23 05:36:18,release-0.16.0-rc0,,org.apache.pig.builtin.TOMAP,org.apache.pig.builtin,1142
1143,1143,8f273342fdd3e8c4292f2460d07b99978a2be5c6,src\org\apache\pig\backend\hadoop\executionengine\physicalLayer\relationalOperators\POPackage.java,4683,55,0,d700bdeba9e4104097bbb07ccc5154c5acedaac5,release-0.16.0-rc0,2015-09-24 05:45:43,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POPackage,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators,1143
1144,1144,a44b85a0ab941cdd1d2d7f6e457303aef1e57501,src\org\apache\pig\backend\hadoop\executionengine\tez\plan\TezPrinter.java,4635,40,0,8f273342fdd3e8c4292f2460d07b99978a2be5c6,release-0.16.0-rc0,2015-09-25 17:43:17,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.plan.TezPrinter,org.apache.pig.backend.hadoop.executionengine.tez.plan,1144
1145,1145,c7cea68820b474de9da3bf08ae90710bfbc9a50c,src\org\apache\pig\scripting\BoundScript.java,4670,497,0,a44b85a0ab941cdd1d2d7f6e457303aef1e57501,release-0.16.0-rc0,2015-10-04 18:22:32,release-0.16.0-rc0,,org.apache.pig.scripting.BoundScript,org.apache.pig.scripting,1145
1146,1146,ec0d50b408da7367a3a0b701c55006dea65925c5,src\org\apache\pig\backend\hadoop\executionengine\tez\runtime\PigProcessor.java,4688,66,0,c7cea68820b474de9da3bf08ae90710bfbc9a50c,release-0.16.0-rc0,2015-10-05 20:55:51,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.runtime.PigProcessor,org.apache.pig.backend.hadoop.executionengine.tez.runtime,1146
1147,1147,c76015245c067af7f731e6c809e2ad7dc7c92672,src\org\apache\pig\backend\hadoop\executionengine\tez\plan\optimizer\UnionOptimizer.java,4691,222,0,f99fdc4914d0e65843787d108c79c8cc83e441f5,release-0.16.0-rc0,2015-10-06 21:19:35,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer.UnionOptimizer,org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer,1147
1148,1148,b1e73a0e9d7d09a38c5c6c9591444718edbbd728,src\org\apache\pig\impl\streaming\PigStreamingUDF.java,4696,10,0,c76015245c067af7f731e6c809e2ad7dc7c92672,release-0.16.0-rc0,2015-10-08 16:09:15,release-0.16.0-rc0,,org.apache.pig.impl.streaming.PigStreamingUDF,org.apache.pig.impl.streaming,1148
1149,1149,2860b0490d4a07677b94606bb5afec461c1da074,src\org\apache\pig\pen\ExampleGenerator.java,4670,276,0,da91cc8bb32494e279892d86f12ad34afcc4d0d5,release-0.16.0-rc0,2015-10-13 03:33:28,release-0.16.0-rc0,,org.apache.pig.pen.ExampleGenerator,org.apache.pig.pen,1149
1150,1150,da24d545444bdc557800674bd67f90c4bc30d95b,src\org\apache\pig\backend\hadoop\executionengine\tez\plan\TezOperator.java,4703,113,0,ca570436a68d0d9b727f397bf626dd7614bdae0c,release-0.16.0-rc0,2015-10-16 20:47:57,release-0.16.0-rc0,,org.apache.pig.backend.hadoop.executionengine.tez.plan.TezOperator,org.apache.pig.backend.hadoop.executionengine.tez.plan,1150
