,index_bug,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,tag_parent,tag_commit
0,0,True,Delta,TIKA-56,tika,b12c01d9b56053554cec501aab0530f7f4352daf,9477c5e4a38dbacf794b663c757617a8ee07432a,org.apache.tika.mime.TestMimeTypes#testCaseSensitivity,False,,0.1-incubating,0.1-incubating
1,1,True,Delta,TIKA-121,tika-parsers,acf76a64d81eb9c901d92fe718c0f0ffb4d14ced,15c83430df273aae65170d25ed95f4df62858de2,org.apache.tika.mime.MediaTypeTest#testParseWithParams,False,,0.4,0.4
2,2,True,Regression,TIKA-121,tika-core,acf76a64d81eb9c901d92fe718c0f0ffb4d14ced,15c83430df273aae65170d25ed95f4df62858de2,org.apache.tika.detect.TypeDetectorTest#testDetect,False,,0.4,0.4
3,3,True,Delta,TIKA-179,tika,e43a19e433b6085b91bf44f534dbf055db313026,aac081e097de07b99e9d4975bf7da5be55114492,org.apache.tika.sax.BodyContentHandlerTest#testOutputStream,False,,0.3,0.3
4,4,True,Regression,TIKA-189,tika,dd352d27c1b955103b2be76f2d5bca88f3b8e48b,2699cf47e222d61b5c4f5ab0757c63199e3fd62a,org.apache.tika.parser.microsoft.ExcelParserTest#testExcelParser,False,,0.3,0.3
5,5,True,Delta,TIKA-225,tika-core,368e6fafc5bce2abd9efeba0800d098a876cbcfc,8189f14efb2e918f5ba941407f05fab9a01ea365,org.apache.tika.mime.MimeDetectionTest#testDetection,False,,0.4,0.4
6,6,True,Delta,TIKA-240,tika-parsers,f04edc5024a25ce5ce6d178fd8027b62ecc58b40,cccb797d8513bda8e42cd0c99e2fca6ee382888f,org.apache.tika.parser.txt.TXTParserTest#testDropByteOrderMark,False,,0.4,0.4
7,7,True,Delta,TIKA-257,tika-parsers,3d8a58aa28f15e17c21158d096e24b1f65e750cf,2be072649f2c90cf30217365ea6ef70f216a025d,org.apache.tika.mime.TestMimeTypes#testOoxmlDetection,False,,0.4,0.4
8,8,True,Delta,TIKA-309,tika-parsers,987ec1d66d8f7e0047e4a1ef5399e440a15877a2,732fadb93e3681760db196ed9d54bc8b7b6415e0,org.apache.tika.mime.TestMimeTypes#testRdfXmlDetection,False,,0.5,0.5
9,9,True,Delta,TIKA-309,tika-parsers,987ec1d66d8f7e0047e4a1ef5399e440a15877a2,732fadb93e3681760db196ed9d54bc8b7b6415e0,org.apache.tika.parser.AutoDetectParserTest#testRdfXml,False,,0.5,0.5
10,10,True,Regression,TIKA-327,tika-core,7ece6ff5d3d16a8a4e3180abdff07a817a844a65,e207c876122ecdda4a88ac5fcd0330502cf9e6de,org.apache.tika.mime.MimeDetectionTest#testDetection,False,,0.6,0.6
11,11,True,Delta,TIKA-391,tika-core,6f48f57a6a0f21e6589a1d512a25574425dcc4cb,21b54bf8ee46073ebc605265bde4ebb771cb9eea,org.apache.tika.mime.MimeDetectionTest#testMimeMagicStability,False,,0.8,0.8
12,12,True,Delta,TIKA-394,tika-core,8a5f28845f28f5a5e2debdfc0fa3f89c738cd2fe,3e08e27a6c3f8ac45275823b9120996a416c811d,org.apache.tika.sax.XHTMLContentHandlerTest#testWhitespaceWithOptions,False,,0.8,0.8
13,13,True,Delta,TIKA-483,tika-core,98eb0b0ec46c8a826a8a76a52636d8cc617d3201,ed7a1d1bda0d981359261c20e8617a73d7dc482b,org.apache.tika.mime.MimeDetectionTest#testEmptyDocument,False,,0.8,0.8
14,14,True,Delta,TIKA-483,tika-core,98eb0b0ec46c8a826a8a76a52636d8cc617d3201,ed7a1d1bda0d981359261c20e8617a73d7dc482b,org.apache.tika.detect.TextDetectorTest#testDetectEmpty,False,,0.8,0.8
15,15,True,Regression,TIKA-563,tika-core,d82bca596d70663c9ef138ae0df06d7aebcded0b,dac8ec870797facb61068b9bf06cd008dbc0ec10,org.apache.tika.TikaTest#testHttpServerFileExtensions,False,,0.9,0.9
16,16,True,Delta,TIKA-632,tika-parsers,add1168c9f95961f6c986356c400a2e6a11e5f27,0406ad0c64d131c50d92b14f2112692172393304,org.apache.tika.parser.rtf.RTFParserTest#testHyperlink,False,,1,1
17,17,True,Delta,TIKA-632,tika-parsers,c80eee31e10872648a1d23fefc8e13bb3b0e65a4,3b9fbf9f468dd4db2018cfc4e784859c630cd994,org.apache.tika.parser.microsoft.OutlookParserTest#testOutlookHTMLfromRTF,False,,1,1
18,18,True,Delta,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testTableCellSeparation,False,,0.1,0.1
19,19,True,Delta,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testTableCellSeparation2,False,,0.1,0.1
20,20,True,Delta,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testMS932Extraction,False,,0.1,0.1
21,21,True,Regression,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testJapaneseText,False,,0.1,0.1
22,22,True,Regression,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testTextWithCurlyBraces,False,,0.1,0.1
23,23,True,Delta,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testVariousStyle,False,,0.1,0.1
24,24,True,Delta,TIKA-683,tika-parsers,5c22595f655362f983e73aca4fb79149f37a17ec,505a83529bc4ba580fb3a65877c7e32e10a8a66c,org.apache.tika.parser.rtf.RTFParserTest#testBoldItalic,False,,0.1,0.1
25,25,True,Delta,TIKA-695,tika-parsers,4b51beae8e08e82458792a63dd867319cb40e1e4,022f18cecf52a0d653d5cba800ae1d6d3c2c294b,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest#testExcelCustomProperties,False,,1.1,1.1
26,26,True,Regression,TIKA-698,tika-parsers,4c5599b6694a31e8ce84a1a0d88100827d98490e,04d1fb7cc895e054941280e991ef129cde11ab8b,org.apache.tika.parser.prt.PRTParserTest#testPRTParserComplex,False,,0.1,0.1
